S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1.,Websol Energy,77.33,4614127,2745298,4.70,0.05,-19.72,2828428,-30.18,-41.44,3354.21,15.79,57.83,-7.19,-37.52,46.71,76.28,63.18
2.,Solar Industries,21500.00,521666,202541,4.37,4.47,14.97,177679,16.59,50.42,195026.98,92.66,57.84,20.16,19.84,41.90,41.72,38.08
3.,Central Mine Pla,239.66,6786446,2381627,7.49,4.21,-2.99,1655075,1.00,,17120.94,53.88,-8.07,-41.78,-38.09,,10.17,38.06
4.,Shukra Pharma.,51.93,10170512,3735032,10.99,17.44,72.58,2184114,65.07,86.73,2282.92,1359.22,256.13,273.33,968.79,25.34,115.03,36.91
5.,SML Mahindra,5726.00,256257,151655,7.66,10.24,5.55,145336,51.28,45.08,8292.62,-4.99,9.96,6.67,17.38,36.34,18.07,30.90
6.,Raghav Product.,1885.20,197857,114311,6.23,8.01,47.69,119160,69.81,199.05,8650.87,67.55,55.29,23.17,29.09,175.23,33.90,30.30
7.,Bajaj Consumer,508.95,1656004,1555736,5.04,12.95,-6.48,859574,-7.81,110.34,6647.82,84.82,76.43,4.56,11.19,36.89,24.92,30.05
8.,Raymond Realty,536.75,890790,515574,6.07,-5.07,-20.21,398098,-10.85,-13.13,3576.88,-18.61,1023.82,-54.47,-91.66,41.03,284.43,29.61
9.,Caplin Point Lab,2845.00,875166,697811,4.58,11.98,10.62,245410,39.93,31.65,21671.53,15.78,17.73,1.70,3.59,70.89,15.01,24.63
10.,Solarworld Ene.,149.76,1182588,370193,4.85,1.22,-11.76,386545,-21.90,,1297.83,-26.41,34.09,-71.54,-80.64,-11.59,150.04,23.80
11.,Welspun Corp,2641.60,4412091,2673362,4.68,9.80,52.11,2898314,90.21,209.90,69724.38,198.64,41.66,-5.37,182.10,226.51,20.21,22.89
12.,RBZ Jewellers Lt,191.68,12046190,5754774,18.71,30.88,26.87,1442364,44.45,40.70,767.77,27.67,54.03,-36.25,-22.17,59.68,30.27,21.98
13.,T B Z,437.15,7628139,10887220,4.52,42.81,58.47,3918308,161.52,134.45,2925.52,50.76,189.44,1.36,-49.85,216.36,29.14,21.89
