S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
14.,Jyoti CNC Auto.,1026.85,4008672,1552063,7.45,-0.29,21.11,1738399,61.89,14.58,23249.55,-19.99,-4.40,-15.14,-36.91,27.99,17.44,21.32
15.,Antelopus Selan,1013.30,20990574,6860405,6.53,29.71,18.80,1672458,12.67,77.68,3561.88,450.71,119.13,28.46,42.65,70.79,46.50,21.22
16.,Elecon Engg.Co,435.95,7643648,1795184,4.64,3.00,1.49,738295,-17.95,-22.54,9798.00,-34.57,-32.70,-30.18,1072.50,6.29,3.05,20.86
17.,RNIT AI Solution,95.78,339372,145833,5.00,5.57,34.90,191651,53.94,,812.14,54.88,71.29,-55.45,-70.80,93.65,56.68,20.15
18.,Wheels India,1654.40,347543,202794,7.13,9.11,17.43,115709,11.21,122.92,4042.46,28.21,39.52,-4.67,-33.79,87.95,17.47,18.83
19.,Sh. Rama Multi.,44.52,391311,138217,8.24,3.29,16.27,175204,2.11,-28.68,593.04,9.66,-53.25,28.91,70.76,-10.58,20.27,18.16
20.,Pudumjee Paper,94.57,388999,392160,4.01,8.06,-2.21,222494,14.48,-27.52,896.57,-6.95,-12.79,1.18,70.99,23.14,1.45,18.14
21.,United Polyfab,40.41,299172,122422,6.23,7.93,35.97,127133,19.95,27.60,927.96,32.04,37.88,4.55,10.76,58.47,16.62,17.75
22.,Scoda Tubes,134.95,403364,178879,4.93,3.07,-10.43,223446,7.26,-27.01,813.91,-25.85,8.73,0.63,-16.93,9.69,11.24,16.54
23.,Deep Industries,744.85,1651766,601977,7.38,11.61,13.89,508817,39.93,31.34,4767.04,45.12,132.59,12.15,1334.63,120.57,48.75,16.47
24.,Vishnu Chemicals,688.45,314176,191370,4.38,6.27,15.89,129955,14.10,41.70,4638.54,23.03,16.57,-3.75,-8.66,41.47,16.61,16.35
25.,A C J K Exports,188.07,796068,460664,4.92,9.72,-6.61,496643,55.67,,1944.24,127.52,72.25,-4.46,83.52,,14.51,15.70
26.,Manoj Vaibhav,171.97,792514,331764,6.31,11.84,2.74,133504,13.15,-13.67,838.79,20.25,21.18,-5.38,-2.10,12.10,21.52,15.63
27.,Kirloskar Oil,2267.60,1377554,617323,4.94,7.97,-0.28,525465,18.52,153.79,32998.85,-17.08,27.79,-5.51,-28.45,50.12,22.68,14.55
28.,AVT Natural Prod,91.64,1957334,702693,5.14,7.01,29.38,593352,32.50,24.14,1395.04,156.60,54.04,6.50,41.24,50.50,40.77,14.22
29.,Edelweiss.Fin.,134.76,15349027,8935678,6.80,8.15,14.51,6263292,17.52,17.67,12743.35,83.05,54.83,21.40,1.83,23.17,13.98,14.10
30.,TGV Sraac,108.57,689077,255723,5.05,3.44,1.61,252275,-0.21,-16.68,1160.99,17.20,18.18,6.26,62.27,27.77,7.60,12.67
31.,Paisalo Digital,70.28,27661338,12925132,5.65,3.61,-1.17,10452082,21.44,110.73,6366.28,29.98,22.74,-0.24,-15.12,110.17,22.66,12.38
32.,Anant Raj,628.30,23136989,5617011,6.70,3.81,-0.33,2676267,10.22,15.50,22647.60,18.88,25.67,-2.38,0.32,28.45,16.97,12.07
33.,Capri Global,271.70,13825868,12372232,5.88,10.99,18.81,7393746,33.99,43.86,26182.54,102.05,95.19,13.83,24.95,68.51,50.16,11.67
34.,Mukka Proteins,28.72,3702334,1679403,6.96,13.56,25.14,1022272,28.16,3.27,861.28,1142.76,59.13,28.65,-12.73,30.07,76.01,11.61
35.,IOL Chemicals,196.43,8907354,4605102,4.27,1.74,27.77,5157100,49.17,93.81,5768.21,89.87,67.75,22.09,21.25,165.52,18.56,11.29
36.,Bhageria Indust.,290.15,411738,304948,4.99,27.60,36.71,107294,38.77,46.01,1272.79,199.75,54.14,6.47,154.89,90.51,55.21,11.01
37.,Brigade Enterpr.,712.30,6077458,1460911,11.30,8.46,22.77,867402,45.80,1.91,23243.08,17.48,-9.38,-23.47,13.76,42.70,4.81,10.54
38.,Inox Wind,74.00,42632629,17501217,4.83,2.78,-6.58,14779598,-14.74,-48.86,12819.83,-58.44,-22.34,-34.57,-39.35,-11.76,17.08,10.48
39.,Onix Solar,384.00,611751,547400,4.99,27.57,-31.36,291731,-46.98,84.66,1417.86,1962.38,645.78,33.34,-18.85,-22.10,77.60,10.21
40.,Welspun Special.,56.02,2638234,985581,5.26,3.68,10.78,1179866,8.71,80.77,3722.44,788.00,500.28,-11.87,21.13,53.10,15.15,9.90
41.,Hubtown,192.20,1690991,539843,6.42,4.06,1.89,683879,-5.46,-42.97,2738.76,-68.57,-21.79,-2.74,1.37,-10.05,28.63,9.48
42.,Inox Green,171.01,1676386,1147814,4.12,-0.68,-4.08,1004875,1.24,15.09,6872.19,84.75,204.19,-36.96,43.88,15.75,16.34,8.42
43.,Manali Petrochem,89.73,40129146,36565895,8.42,26.74,34.79,9791766,38.94,21.75,1542.61,348.81,262.35,-6.13,121.63,74.44,19.19,7.24
44.,Kopran,232.24,1602036,924399,6.14,20.51,22.84,329002,22.83,34.34,1120.67,-10.07,-28.42,-34.20,-64.49,89.09,11.96,6.65
45.,South Ind.Bank,47.70,30809532,13492318,4.29,4.31,1.79,8652079,8.41,61.91,12540.67,17.29,13.54,2.67,-7.33,19.82,6.88,6.42
46.,Spice LoungeFood,24.60,725500,753926,4.99,-1.01,-2.11,415519,-0.49,-51.68,1714.92,507.63,250.78,-14.63,-3.02,-18.25,20.89,6.42
47.,Sh. Digvijay Cem,74.28,290059,175691,4.69,-4.66,2.38,111603,4.81,-23.18,1097.62,-50.47,-34.92,61.78,-14.09,14.07,19.63,6.40
48.,T N Newsprint,154.36,1766875,554277,5.95,10.33,0.52,308862,6.98,-5.39,1069.00,177.46,1119.58,-9.82,-97.61,12.27,2.94,6.40
49.,Alembic,109.51,36993707,8070526,9.36,6.56,23.67,2400512,25.70,3.17,2814.54,5.27,1.31,-18.82,-3.34,25.66,8.21,6.07
50.,Bank of Maha,86.32,50693904,22193390,4.76,1.92,10.07,16647654,9.00,63.42,66709.23,34.50,31.03,3.60,-1.05,23.09,15.83,6.03
