S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Netweb Technol.,4587.40,4651814,2982623,9.45,-1.68,17.40,2658847,44.44,157.46,26120.97,65.67,80.50,-3.88,-3.71,37.71,90.04,37.50
2.,Sedemac Mechatro,2770.70,596230,376616,4.85,16.74,38.33,259251,89.06,,12235.83,272.59,120.81,7.83,31.85,,60.76,35.69
3.,Afcom Holdings,945.60,195000,126864,5.97,5.25,2.30,108480,28.46,-1.22,2713.74,72.83,160.47,24.74,29.64,12.16,144.27,33.49
4.,Apar Inds.,15221.00,291073,224729,4.60,9.68,19.52,163728,69.33,92.78,61149.20,3.66,22.51,20.50,21.31,67.44,23.25,31.12
5.,Sterling & Wils.,208.23,4155842,2298323,7.81,2.24,2.54,2211861,23.03,-34.69,4862.83,142.99,310.13,-7.01,9034.84,-1.93,19.77,26.78
6.,Marsons,117.46,6307848,4754063,5.73,-8.89,-17.78,2748064,-15.22,-39.19,2021.49,149.89,85.72,100.83,248.46,-21.61,45.54,25.39
7.,Vimta Labs,554.85,817576,427116,6.45,1.93,20.44,320473,32.61,7.98,2478.48,15.23,17.11,10.77,20.01,-8.98,18.41,25.23
8.,Goldiam Intl.,478.80,8308628,2531183,12.98,13.57,24.77,1244707,61.46,33.37,5406.51,61.38,45.34,-26.62,-45.56,28.52,25.08,23.89
9.,Data Pattern,4545.70,2887184,2475948,8.10,7.91,13.34,1499000,41.39,51.40,25448.63,21.30,27.25,99.19,137.36,74.41,30.55,23.28
10.,H P C L,388.90,14694847,8301205,6.34,1.00,3.01,7629894,5.46,0.69,82751.02,77.58,167.46,-0.19,51.20,-16.57,1.77,22.23
11.,Privi Speci.,3444.30,304462,143476,6.20,6.61,12.00,89744,21.05,43.24,13454.37,40.86,75.95,19.33,25.73,9.68,22.01,22.09
12.,Power Mech Proj.,2789.50,622097,207982,7.35,7.21,13.85,159062,40.67,-9.23,8819.36,21.59,11.48,48.69,54.00,17.74,15.81,21.82
13.,EPack PrefabTech,241.17,13265097,8745975,6.12,15.45,26.82,3523668,54.56,,2426.87,51.30,56.04,44.75,79.76,-16.95,34.52,21.71
14.,T B Z,183.77,4578716,1217811,10.64,9.94,37.93,1300783,39.52,-4.50,1226.31,612.75,195.47,-21.83,-16.11,11.88,22.23,21.36
15.,Anand Rathi Shar,542.95,372729,196569,6.33,3.47,0.93,231234,13.69,,3422.01,125.15,26.90,2.90,10.88,-9.36,10.42,19.82
16.,AGI Greenpac,645.75,346966,178228,4.53,7.81,10.91,162208,26.32,-22.20,4177.83,19.66,12.05,17.15,61.36,-11.76,5.40,19.60
17.,CEAT,3334.30,233869,124089,5.88,4.47,1.87,117987,-3.92,-10.10,13487.27,98.61,51.23,1.49,56.89,-12.79,18.61,18.74
18.,Allied Blenders,644.45,2354243,882192,5.92,10.98,16.83,464790,45.97,52.23,18025.92,-48.05,18.22,0.39,-40.98,2.93,11.45,18.43
19.,TBO Tek,1352.80,226513,132451,7.74,10.41,14.51,105042,16.38,5.12,14689.76,16.86,13.14,3.83,11.94,-19.24,54.10,18.00
20.,FSN E-Commerce,273.50,12462988,7712407,5.09,4.27,0.18,7949272,14.84,40.45,78325.59,286.49,216.85,-7.83,16.25,8.70,26.07,17.20
21.,Paras Defence,1097.15,6513464,6428558,10.92,14.27,40.09,3965243,71.71,35.01,8841.64,64.34,37.53,61.08,130.74,66.45,30.69,16.90
22.,Star Cement,218.57,1775771,817613,5.25,4.55,1.37,427590,6.66,1.91,8834.17,23.59,137.55,33.36,98.15,-1.68,19.38,16.68
23.,Arisinfra Solu.,120.13,2117464,623361,6.64,5.48,-16.88,1137376,20.05,,982.20,1332.30,1881.19,26.78,18.56,-4.37,39.05,15.57
24.,Aptus Value Hou.,271.70,2786372,1481355,5.13,2.41,0.70,938964,22.38,-15.00,13605.18,26.04,25.52,3.75,10.48,-6.33,25.24,15.40
25.,Aptech,114.66,2362563,1171074,7.42,9.23,17.32,1214613,43.70,-25.51,665.06,-63.97,29.42,-19.04,-79.21,16.24,9.49,15.34
26.,MTAR Technologie,7159.50,4874550,2902934,13.53,-4.99,-5.65,2469532,111.32,325.22,22022.33,212.25,85.63,10.12,26.07,201.06,29.61,15.20
27.,KRBL,366.80,1051538,488749,6.20,2.85,5.80,565951,19.28,1.76,8395.68,0.76,36.23,3.29,-8.58,-7.34,9.01,15.16
28.,Senores Pharma.,1290.00,1408237,720126,11.14,24.67,35.13,755764,77.42,131.62,5940.91,77.29,96.99,2.48,9.20,58.23,58.85,15.13
29.,Laxmi Dental,226.74,2144770,508485,6.19,-1.37,12.01,770590,27.02,-47.17,1246.21,149.50,27.68,11.98,415.31,-15.22,16.21,14.86
30.,JBM Auto,683.80,5007027,1645479,6.04,0.60,5.13,1918999,38.34,-2.50,16171.48,11.95,10.98,14.76,39.72,18.69,11.26,14.78
31.,WPIL,455.65,379550,95043,7.82,7.97,2.16,81828,21.26,8.92,4450.37,3032.35,20.40,-5.10,-38.42,14.04,2.64,14.57
32.,Medi Assist Ser.,373.00,585127,173238,7.52,4.41,-3.37,187893,23.51,-24.06,2786.38,148.10,9.18,0.96,1215.70,-19.55,25.09,13.95
33.,Ashok Leyland,152.45,74928443,34006395,10.01,4.93,-1.22,33029108,-10.67,29.86,89546.91,9.51,21.59,16.29,60.20,-8.61,16.13,13.82
34.,JSW Infrast,291.00,5217216,4801692,5.65,4.64,8.76,2416984,14.84,-3.79,61110.05,-6.26,10.34,12.79,16.12,6.61,19.78,13.69
35.,B.L.Kashyap,53.75,643686,309880,4.80,-0.20,1.66,376778,9.94,-21.99,1211.74,591.26,33.43,12.30,-205.83,1.19,19.55,13.03
36.,INDIA SHELTE FIN,793.40,1184713,262936,8.96,4.85,-5.00,115507,15.04,-10.16,8631.01,27.24,33.12,4.74,10.90,-7.71,31.12,12.83
37.,Motil.Oswal.Fin.,888.45,3310548,1388523,6.84,3.87,4.25,969036,30.61,8.18,53488.66,-241.64,-25.27,26.73,-138.70,5.30,12.40,12.65
38.,Aeroflex Enter.,109.78,1137829,853946,6.75,8.88,7.81,479506,60.10,20.33,1241.45,120.59,25.30,4.26,3.51,37.24,20.66,12.58
39.,Manba Finance,124.75,294609,190546,4.54,5.29,10.77,99848,3.79,-13.84,626.74,38.78,20.00,3.72,-14.91,-9.13,31.04,12.49
40.,Oriental Hotels,108.32,406070,336844,4.84,6.07,9.74,216349,25.52,-28.93,1934.59,66.98,76.00,-2.00,54.78,3.77,12.31,12.13
41.,Mukka Proteins,22.81,1145280,381285,8.36,1.78,-4.32,256372,4.25,-26.47,684.30,51.73,12.10,-41.76,-21.64,-6.13,44.02,11.61
42.,Shriram Finance,954.95,10225777,5995775,7.75,3.43,2.12,6037100,-4.85,43.14,224691.63,40.94,22.12,2.82,19.42,11.64,9.54,11.47
