S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Timex Group,714.20,7010961,1960631,16.87,13.06,26.86,757498,37.69,101.07,7208.07,70.55,104.35,-6.93,-8.49,154.93,41.81,82.85
2,International Gemological Instit,330.95,2668947,945656,5.10,5.30,-2.20,599286,-6.97,-12.53,14281.92,30.99,24.26,0.60,-7.72,-2.22,21.59,69.25
3,I R C T C,476.75,1868478,1139432,4.32,2.99,-2.38,846341,-8.25,-35.17,38127.49,-0.18,5.59,-6.18,1.01,-8.82,15.01,46.10
4,Afcom Holdings,1467.70,141240,148440,5.76,-4.73,-3.22,91834,23.74,64.70,4243.65,86.06,160.47,-7.48,-12.14,98.97,144.27,33.49
5,The Bombay Burmah,1512.10,4422313,1133131,8.05,6.22,4.64,1019369,-1.66,-22.64,10553.60,17.47,9.81,5.62,-25.38,0.50,6.63,32.98
6,Prec. Wires (I),478.40,1928180,837890,6.49,3.43,11.33,1185497,17.18,162.34,8739.70,71.47,84.03,0.93,-15.35,58.23,46.02,32.94
7,Apar Inds.,18858.00,287746,178550,5.94,7.76,13.50,134667,15.84,110.87,78943.56,77.80,36.71,-0.18,84.44,94.96,23.96,31.81
8,APL Apollo Tubes,2270.10,1141877,718599,5.66,5.41,6.99,740386,21.29,33.78,63142.92,10.94,53.43,-10.57,-25.75,15.05,10.44,31.75
9,CSM Technologies,109.85,9535169,4801971,7.02,31.65,10.68,1210330,,,566.04,-9.92,83.07,-29.34,-189.03,,13.41,29.19
10,SJS Enterprises,2422.80,1041635,343566,6.92,2.92,-3.40,174740,9.37,65.60,7814.45,57.47,53.02,0.34,52.30,52.97,28.78,28.58
11,Thangamayil Jew.,5044.50,395443,166072,4.85,-1.59,-8.52,112178,-7.52,132.51,15691.07,86.15,264.16,-6.09,-40.35,51.54,83.21,25.49
12,ASK Automotive,656.25,563093,432192,6.03,5.08,1.53,350232,39.63,26.13,12930.18,28.83,23.18,18.39,18.98,60.37,27.91,25.42
13,Indo-MIM,1055.90,4223611,2764503,6.31,3.70,9.09,2465803,,,52188.59,31.64,20.16,16.31,72.57,,25.93,24.98
14,KSB,813.10,286057,181935,4.54,1.11,0.74,180485,-9.91,-5.10,14168.43,-18.75,2.04,14.87,43.72,3.94,4.63,24.70
15,Emcure Pharma,2003.80,1831128,621746,4.92,1.26,5.97,266012,12.83,49.44,38008.25,40.45,36.79,4.48,20.01,35.56,18.36,24.02
16,GPT Infraproject,118.96,3110293,876279,4.76,6.02,5.25,337855,-2.00,-0.78,1508.68,4.90,13.47,-27.16,-18.27,14.80,1.62,21.40
17,Jyoti CNC Auto.,1049.70,4130315,1590376,7.02,6.57,10.42,1262512,42.25,11.69,23887.21,-19.99,-4.40,-15.14,-36.91,41.86,17.44,21.32
18,Bhatia Communic.,39.09,1529454,723905,8.61,18.60,32.60,306435,51.92,43.66,549.81,90.50,45.53,11.71,49.89,84.82,49.05,21.28
19,Venus Pipes,2282.90,1326523,787737,7.09,13.01,47.34,338799,47.66,67.70,4759.19,6.66,15.37,6.07,3.57,140.43,21.73,21.27
20,Navin Fluo.Intl.,8590.00,321249,174911,4.50,0.54,3.78,144118,14.63,75.51,44077.64,107.67,124.32,11.45,14.43,40.27,42.43,20.96
21,SPR Auto Technologies,4576.60,169276,90508,4.36,4.69,2.75,92855,22.38,74.46,21232.05,8.00,11.14,1.28,-7.17,46.45,35.19,20.78
22,Anlon Healthcare,22.90,150119424,104767984,4.85,17.02,57.60,32762564,40.49,72.18,1219.96,87.61,38.94,72.06,-25.20,89.10,42.96,20.77
23,Supreme Inds.,3580.30,487377,206659,7.05,6.42,-0.82,207405,1.55,-20.00,45647.32,38.76,16.02,-22.96,-35.25,-6.63,8.71,20.73
24,EIH,317.90,5486007,2195300,6.00,10.98,6.80,781902,-1.23,-20.89,19906.88,-1.91,-7.56,-26.61,-51.70,2.71,8.34,20.67
25,Grauer & Weil,86.62,15325745,4373472,9.52,14.58,30.08,1242215,13.39,-5.98,3911.13,-8.71,6.76,-15.95,-19.59,51.46,10.06,20.59
26,Uno Minda,1284.00,1427266,715322,6.56,6.86,0.94,762669,15.10,-2.18,74023.93,1.76,18.84,4.13,-10.31,20.34,18.80,19.65
27,Avalon Tech,2537.70,4450875,1547840,13.80,12.06,13.01,715061,45.46,156.64,16946.84,145.39,67.08,0.94,-15.26,166.59,44.38,19.29
28,Sambhv Steel,147.57,29352762,8582074,14.32,12.58,20.06,3108657,34.60,19.40,4348.13,69.49,149.65,6.84,1.49,56.19,48.73,19.07
29,NRB Bearings,525.50,10054865,2834037,11.29,2.11,8.77,870795,22.71,86.35,5099.77,9.09,10.71,-0.66,-10.29,116.61,14.37,18.41
30,Talbros Auto.,476.70,2038653,779706,9.54,12.50,12.68,343459,32.25,62.28,2944.27,35.23,16.59,0.79,-5.06,101.52,8.71,18.41
31,Share India Sec.,228.15,26021701,15658572,4.45,14.69,30.18,8206271,64.25,59.31,4994.56,47.48,17.62,7.74,114.35,82.46,14.62,18.41
32,Mangalam World.,42.52,3168052,3070960,5.82,4.73,3.08,1805503,13.12,66.75,1261.93,17.69,63.43,19.35,-21.80,60.03,12.75,17.70
33,Global Health,1499.40,724573,298968,5.29,3.61,5.80,363193,18.45,9.63,40341.55,-0.18,0.40,12.51,11.01,49.09,21.27,17.37
34,Syrma SGS Tech.,1728.90,11029355,5903191,6.87,8.78,15.66,2570510,29.60,112.96,33375.60,101.19,84.00,8.44,-11.36,120.55,53.01,16.78
35,Arisinfra Solu.,133.33,3768167,2410240,4.76,6.27,-1.96,2465412,10.58,-15.85,1092.45,306.31,1505.59,-15.30,-7.44,28.49,45.21,15.57
36,Techno Elec.Engg,1030.45,335223,205394,4.65,6.00,3.36,171215,-4.53,-27.98,11961.62,-2.03,20.89,-38.49,-32.96,-5.43,35.12,15.16
37,Nupur Recyclers,143.67,210713,116655,4.77,7.97,27.03,97224,80.17,87.93,992.31,83.05,26.92,38.42,121.26,187.11,40.64,15.12
38,Adani Total Gas,660.70,41337560,10802692,12.56,11.08,-0.53,2695582,-9.16,8.86,72683.02,-17.97,-4.01,12.59,-14.64,19.71,19.58,15.09
39,Commerl. Synbags,306.55,893023,519104,4.62,2.47,9.27,452420,87.60,97.34,1238.71,91.30,75.84,8.11,36.15,99.82,13.22,15.01
40,Jubilant Food.,500.00,2988436,1193697,4.12,6.33,0.34,1158835,19.33,-20.19,32886.11,6.11,41.60,2.81,21.37,10.73,16.28,14.80
41,DMCC Speciality,280.65,126166,98939,7.24,-2.40,-3.59,80179,11.70,-10.45,699.81,163.35,43.30,42.43,166.45,28.03,49.59,14.78
42,Suraj Estate,192.25,663499,272328,8.38,10.12,-6.62,196720,-1.96,-35.27,911.20,7.28,0.49,46.50,112.36,-4.54,3.69,14.54
43,GNA Axles,558.55,2212447,700857,4.10,1.35,-3.22,363206,35.19,74.11,2393.66,66.46,29.22,14.48,24.17,48.81,8.11,14.33
44,CMR Green Tech.,231.87,2098090,825303,8.73,7.06,8.82,635158,-4.56,,5067.60,16.41,47.84,32.06,3.33,,29.61,13.98
45,Belrise Industri,240.18,11292017,4741655,4.71,5.34,3.08,3468882,-0.38,55.58,23241.21,11.45,33.74,-0.89,-16.14,27.08,12.22,13.85
46,Sansera Enginee.,4259.90,320826,279988,6.03,3.15,9.39,209604,44.61,188.65,26580.65,64.54,61.41,2.86,-16.63,95.60,23.53,13.69
47,GMM Pfaudler,1467.00,1250135,920590,7.60,12.16,43.84,505999,81.19,29.65,6604.19,114.35,48.91,-1.99,44.07,71.20,13.91,13.64
48,JSW Infrast,348.25,26241781,9298332,6.61,1.49,5.56,3729036,13.01,6.27,81291.62,-9.89,-2.82,-5.09,-15.59,38.66,19.02,13.59
49,Aegis Logistics,1415.40,1394715,1189060,4.55,4.57,3.77,922043,40.44,80.36,49728.29,268.90,88.67,-9.16,19.85,131.39,30.35,13.33
50,Skyways Air Ser.,124.43,97222055,26125528,5.47,7.26,,18010055,,,1808.20,190.12,3.33,54.45,23.34,,25.14,13.22
51,India Glycols,263.70,1785249,730272,6.03,-10.58,12.69,416662,30.16,48.25,1765.02,32.19,30.01,15.78,11.45,42.27,12.01,12.40
52,Yatharth Hospit.,1139.50,6942873,2955649,6.26,17.92,33.69,969584,35.70,44.38,10999.58,11.94,27.41,14.96,1.61,77.98,44.00,12.37
53,HLE Glascoat,446.90,1079959,847508,7.52,10.52,41.45,437606,19.17,-13.11,3101.70,-81.23,-30.00,-23.22,-89.83,56.10,26.31,12.07
54,Azad Engineering,2790.30,763549,607685,7.10,-2.06,-1.35,441225,33.18,69.62,18006.76,20.29,39.10,6.85,-4.48,89.89,28.72,11.92
55,Tilaknagar Inds.,568.70,1798342,1151536,4.57,9.03,-0.90,736830,28.35,21.44,14090.18,-30.28,-18.70,10.17,311.87,30.92,100.02,11.78
56,GMR Airports,99.30,22517683,13572784,4.48,1.35,-3.12,14561424,-8.76,8.21,104674.41,144.06,159.42,0.73,-63.06,9.65,38.80,11.65
57,Home First Finan,1241.30,907407,379586,5.80,4.80,4.80,230843,7.57,-2.92,12973.44,34.45,40.70,7.30,6.96,32.62,21.36,11.13
58,Rail Vikas,214.29,9852177,5830339,6.24,4.58,-4.12,5238576,-12.17,-40.89,44802.07,18.46,-24.30,-35.46,-12.19,-19.00,5.40,10.80
59,UPL,580.00,4049914,2729531,4.55,1.23,2.11,2318133,-4.71,-17.02,48981.81,92.63,36.49,-44.47,-105.64,-7.28,12.86,10.11
60,ACME Solar Hold.,435.25,12422432,5168931,5.82,8.19,14.42,3097341,28.91,43.25,30785.42,64.83,45.44,56.52,70.15,76.67,47.52,8.89
61,Aditya Birla Cap,410.05,7203981,3540722,5.14,3.81,3.55,3238596,9.08,40.96,112382.85,40.07,18.14,-9.51,16.93,31.74,16.33,8.72
62,Exide Inds.,435.85,5802085,2712393,4.12,5.62,-5.15,2487702,14.47,2.52,37091.55,28.38,10.67,16.75,62.09,44.01,7.61,8.54
63,Smartworks Cowor,547.35,279073,110821,5.28,3.13,8.96,132865,18.27,6.16,6261.85,413.10,162.83,5.11,-20.88,39.12,36.32,8.30
64,Jaykay Enter.,167.18,1098278,544493,6.44,1.13,22.58,675861,-1.92,-1.85,2520.61,-78.19,85.18,21.93,-97.49,36.44,117.55,8.18
65,Electronics Mart,196.28,16513003,5571940,6.06,4.19,2.64,2767389,62.40,28.16,7562.89,351.33,77.81,26.43,203.65,113.32,20.15,8.17
66,Lenskart Solut.,707.20,26023034,11272844,4.01,3.73,10.57,15580623,38.14,,123030.87,240.31,77.25,7.89,12.18,34.40,37.11,8.08
67,BEML Ltd,2135.00,1447249,634216,6.04,5.52,8.55,529633,22.05,-1.95,17784.41,57.87,-40.29,-54.32,-115.02,40.96,12.78,7.66
68,Tirupati Forge,67.68,328776,335887,4.96,-2.08,4.32,217293,41.06,76.11,880.11,-13.48,-8.41,-9.09,-19.74,44.37,42.34,7.53
69,Poonawalla Fin,479.40,7583091,2461872,10.77,7.67,-2.82,1318482,12.35,-4.52,42166.08,391.55,340.37,10.15,20.77,21.80,72.47,7.51
70,Adani Green,1334.50,2738936,1311061,4.73,4.15,3.21,1601604,-11.18,36.33,221195.75,16.89,4.37,26.53,91.25,54.62,10.98,7.39
71,NELCO,1011.85,723924,349661,4.83,6.82,11.18,338741,7.60,11.03,2308.20,15.56,-11.82,1.07,114.68,72.27,2.05,7.21
72,Visaka Industrie,97.36,661870,294649,7.21,7.64,4.36,248356,26.16,14.54,841.79,118.85,438.82,22.82,22.26,70.66,10.67,7.03
73,West Coast Paper,768.30,618931,405994,7.24,7.64,24.92,368381,49.66,57.34,5071.79,145.43,-8.74,-15.58,162.76,76.76,7.86,6.17
