S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Ardee Industries,52.08,12530549,4855235,6.98,9.00,-13.49,5310232,,,1641.57,5.96,155.43,-4.28,-16.18,,57.21,49.08
2,Unified Data,439.05,226800,300160,4.57,17.93,19.63,105238,15.84,8.42,882.05,94.05,-7.84,-6.75,35.96,46.50,29.57,45.25
3,Shukra Pharma.,58.59,5527318,3007715,5.89,6.01,32.98,3208745,99.76,83.84,2586.78,1359.22,256.13,273.33,968.79,77.22,115.03,36.91
4,Transrail Light,477.15,25511165,5380227,15.20,17.84,3.73,1655704,-7.92,-38.94,6406.79,1.95,9.71,-6.84,11.79,-1.26,14.95,33.56
5,Steelcast,350.15,1551705,435452,10.30,11.96,-1.66,168779,13.98,58.27,3553.03,19.27,14.58,11.02,2.29,59.25,9.25,32.30
6,Inventurus Knowl,1869.20,568353,289721,4.85,4.83,4.65,189355,8.83,24.75,32083.68,27.85,40.91,4.20,-5.94,41.23,21.10,31.51
7,Engineers India,302.55,24565522,8330165,6.06,15.28,23.54,7600577,19.26,45.66,17013.54,141.50,41.65,-11.49,-19.22,54.38,16.30,30.40
8,Jain Resource,291.25,16532062,3830812,6.78,6.02,-1.55,1921770,-20.36,,10048.79,21.02,66.12,-12.26,5.12,-36.00,65.35,25.66
9,Gabriel India,1471.40,8425716,1897556,14.04,13.14,3.58,708910,18.52,14.46,26107.98,1.99,23.10,3.25,-9.16,66.97,18.71,25.61
10,Indo-MIM,1233.30,8630924,4604238,6.19,26.41,39.81,2820591,,,60871.65,31.64,20.16,16.31,72.57,,25.93,24.98
11,Kilburn Engg.,519.50,2064442,571526,12.93,11.48,30.72,408855,4.15,-6.24,2905.75,-38.57,22.02,-38.16,-47.35,7.89,31.68,23.18
12,Pace Digitek,167.74,27811594,5990774,8.32,9.21,-7.17,1926254,-21.16,,3622.09,13.24,8.53,-49.36,-40.99,7.23,14.85,21.40
13,Pasupati Acrylon,76.37,1059065,347621,7.31,8.36,23.76,169287,17.15,62.91,680.31,1465.14,270.90,-2.60,4.22,73.06,51.22,21.15
14,Unicommerce,86.32,14099273,3077429,6.42,5.01,-1.31,946707,-4.33,-42.36,968.51,20.62,17.73,-0.50,37.65,-3.59,38.44,21.09
15,Anlon Healthcare,28.86,83019476,93935828,9.98,43.01,102.10,43023625,78.92,106.00,1524.66,87.61,38.94,72.06,-25.20,148.36,42.96,20.77
16,Sun TV Network,490.10,3565789,1090735,7.11,5.57,3.82,726737,-5.18,-11.45,19322.53,16.96,-7.84,65.20,166.45,-19.56,12.66,16.41
17,Taneja Aerospace,367.05,1125979,287630,14.85,39.25,19.74,87464,27.18,-3.93,935.42,61.86,5.34,-10.66,12.13,57.97,4.88,15.60
18,Nupur Recyclers,158.35,290325,159243,5.00,16.99,34.58,114431,89.10,116.47,1093.71,83.05,26.92,38.42,121.26,232.60,40.64,15.12
19,Dolphin Offshore,724.30,216173,83858,5.89,11.25,12.28,86128,91.59,81.60,2888.03,30.71,43.29,-5.53,-47.72,79.35,73.95,14.92
20,Apollo Micro Sys,406.75,14722304,11305774,5.53,5.21,5.77,8141026,2.97,22.50,15097.18,45.38,82.52,-14.31,-31.48,105.77,69.08,14.47
21,AVT Natural Prod,98.26,4806282,1139920,9.13,13.94,12.26,565914,41.48,32.64,1494.34,156.60,54.04,6.50,41.24,68.95,40.77,14.22
22,KPI Green Energy,346.45,11420208,6532684,7.79,25.00,10.83,2203962,-14.01,-27.88,6843.03,-17.64,27.27,-12.81,-39.14,-9.77,40.01,13.85
23,Sansera Enginee.,4586.50,946626,402042,6.74,18.46,18.30,257484,45.74,206.71,28634.05,64.54,61.41,2.86,-16.63,110.10,23.53,13.69
24,JSW Infrast,367.60,18387661,11329977,5.15,12.81,9.50,4675582,8.63,8.55,85638.60,-9.89,-2.82,-5.09,-15.59,42.37,19.02,13.59
25,Protean eGov,620.65,16176945,5053702,5.49,26.96,12.63,1405911,2.20,-29.79,2532.25,-75.43,-9.67,-18.40,-80.71,24.95,21.39,12.69
26,Regaal Resources,97.21,8832723,1933851,16.50,21.94,1.30,706842,24.20,-5.35,998.93,46.97,36.44,-17.36,-19.41,44.29,12.71,12.04
27,Rossell Techsys,1494.10,1082216,1357765,9.88,18.07,39.09,519355,60.62,88.16,5641.15,116.36,73.64,8.72,-5.05,112.47,82.91,11.50
28,Arihant Capital,90.99,6386404,1523936,11.49,11.71,19.80,565236,29.05,-16.15,992.62,69.21,-20.10,58.87,4198.00,35.93,3.42,11.47
29,Optiemus Infra.,708.90,8600002,1960776,20.00,17.18,31.23,793842,49.97,7.34,6396.23,45.77,10.56,82.07,-5.74,113.69,20.93,10.92
30,One Point One,63.20,7464983,3208203,5.28,11.50,12.52,1603703,8.93,41.45,1661.48,72.78,31.61,64.57,58.81,40.73,52.41,10.88
31,Aarti Pharma,883.75,1521962,1379083,4.41,11.95,8.20,689921,24.46,-1.81,8013.83,53.82,-19.21,-8.04,24.57,38.30,1.20,10.70
32,DCW,48.02,3900389,1517919,5.61,7.38,7.36,1951888,-3.20,-34.72,1417.02,203.34,104.88,-11.03,91.10,16.64,11.82,9.89
33,Tirupati Forge,74.61,347410,309361,5.00,8.89,7.17,218008,53.20,97.22,970.22,-13.48,-8.41,-9.09,-19.74,73.84,42.34,7.53
34,Bluestone Jewel,930.40,3881998,1407540,10.05,12.29,9.92,917318,75.40,54.83,14215.38,120.16,128.59,8.13,-80.89,88.40,40.02,6.78
35,RBL Bank,423.20,7595161,3740596,5.17,4.86,7.82,4099063,12.24,56.92,65567.74,26.64,67.08,3.23,10.44,39.23,5.37,5.77
36,Kuantum Papers,84.95,374224,236595,5.21,11.79,14.50,168694,9.37,-23.48,741.86,-48.34,-59.44,0.93,-56.56,16.96,11.89,5.24
37,Shivalik Rasayan,416.90,312758,214768,4.50,17.80,54.13,138655,97.44,-11.40,669.06,112.50,-8.86,-6.30,-37.33,70.27,14.88,4.76
38,Ind-Swift Labs.,405.55,2241862,1163917,6.89,7.08,23.05,1173116,109.23,288.68,3506.85,183.47,195.01,12.76,63.34,196.28,53.97,4.70
39,Capillary Tech.,547.10,1783636,911635,7.24,15.86,8.91,370201,9.76,,4359.43,2949.33,321.76,34.12,-122.02,16.16,22.79,3.42
40,Aequs,242.87,4149914,2357256,4.88,9.64,-6.31,2430368,5.40,,16286.34,-1457.91,-73.70,7.75,0.91,100.47,33.08,1.69
41,Astec Lifescienc,794.50,2166888,669443,10.43,17.93,32.01,540410,5.67,-6.55,1769.63,43.34,49.62,-47.32,-141.42,27.43,9.33,-5.44
42,Zota Health Care,1356.00,1031885,328860,5.30,21.82,24.70,125180,-2.07,-4.67,4696.17,-204.19,-68.80,6.39,-203.94,19.92,78.89,-8.47
43,Turtlemint Fintech,140.23,3847688,1482705,6.91,7.01,-6.10,1250188,,,4131.68,19.08,33.17,-17.67,-1303.18,,65.73,-35.65
44,Meesho,240.19,115051653,46579123,9.60,13.08,16.77,26689597,27.51,,111167.93,38.48,49.33,5.14,20.14,60.43,34.47,-39.97
