S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Om Power Transmission,170.73,510934,188821,6.57,-1.07,-1.16,131278,-7.59,,585.21,25.99,81.58,-30.35,-36.82,,60.74,42.70
2.,Solar Industries,20324.00,748286,205023,8.51,9.88,11.14,118763,17.38,35.14,180689.86,92.66,57.84,20.16,19.84,55.82,41.72,38.08
3.,Netweb Technol.,5181.00,3789026,1586913,7.10,7.58,17.80,1384013,34.90,146.84,29494.57,179.92,102.07,5.94,20.87,67.27,107.70,37.50
4.,Fujiyama Power,409.90,988707,547327,5.37,2.31,6.94,555393,49.33,,12578.29,107.49,94.53,53.07,57.96,94.33,72.30,34.95
5.,Prec. Wires (I),468.65,7089240,2102923,10.98,11.86,23.59,706017,24.62,174.05,8572.37,71.47,84.03,0.93,-15.35,79.17,46.02,32.94
6.,Steelcast,354.15,704303,209263,7.40,4.86,18.33,134273,25.10,71.09,3580.74,19.27,14.58,11.02,2.29,57.93,9.25,32.30
7.,Modison,323.00,372627,201306,4.60,15.38,11.90,96586,99.63,103.72,1042.74,442.75,208.91,99.93,79.46,121.13,44.89,30.98
8.,Rajputana Stain.,166.77,5547900,1763959,6.96,9.11,29.48,819910,20.26,,1392.50,80.52,25.21,20.25,54.20,,8.05,25.22
9.,Black Box,832.50,2314032,686960,7.82,12.24,-4.24,431832,-5.26,67.94,14762.19,20.84,4.15,1.63,-13.65,52.89,12.20,22.20
10.,Jaro Institute,463.95,173729,113542,4.40,2.27,-6.93,101767,-3.22,,1036.62,48.34,34.84,-2.80,-47.63,-2.13,12.52,22.09
11.,Bharti Hexacom,1565.50,792479,330072,5.35,3.37,-3.47,197555,0.20,-7.78,78275.00,23.19,28.63,3.99,7.99,-6.18,7.87,21.37
12.,Godawari Power,243.31,8273369,3173682,6.25,-0.59,-3.39,1875681,-15.49,19.10,16365.70,2.68,10.67,8.71,-20.64,-5.93,8.43,20.37
13.,Bharat Seats,245.25,1333862,722237,4.23,9.75,0.90,505663,29.36,99.12,1542.40,43.90,34.03,0.62,-0.30,49.95,48.32,20.19
14.,Arkade,136.92,1370581,665587,5.60,-2.03,-1.47,440834,19.85,-28.39,2532.53,-33.66,14.29,-25.24,117.41,12.91,12.10,19.29
15.,Astral,1592.00,13224348,2840659,8.74,10.40,17.19,1096955,2.66,23.21,42917.14,48.21,22.27,-24.44,-43.57,-0.28,16.79,19.22
16.,Sarda Energy,523.30,24769050,5144917,6.92,4.47,6.24,1406841,-3.93,-6.22,18438.23,5.50,19.96,28.28,208.17,4.14,5.90,17.39
17.,Kanpur Plastipa.,260.38,959413,224078,12.02,25.77,32.81,96161,30.26,18.51,638.89,75.54,56.49,13.68,-16.79,26.28,11.94,17.15
18.,Suraksha Diagno.,304.45,4015142,1103128,12.61,21.42,17.12,295573,-0.43,1.03,1585.01,38.40,7.57,7.66,108.60,6.77,23.32,16.97
19.,Bliss GVS Pharma,514.00,863566,460669,4.99,4.12,-1.36,321969,85.13,201.15,5477.65,16.40,29.05,11.12,38.84,135.97,20.59,16.93
20.,Paras Defence,1342.20,1760642,1059198,4.80,1.94,11.64,985283,78.15,100.19,10809.26,42.70,45.66,-25.33,-46.66,109.85,36.61,16.90
21.,Diffusion Eng,391.15,768808,574511,7.87,-11.88,-0.36,235119,28.02,17.16,1464.13,36.26,35.46,-22.22,4.45,44.30,26.44,16.42
22.,Windlas Biotech,949.50,290531,606237,6.12,8.67,11.57,167888,21.82,-10.19,1958.42,-0.11,2.42,4.03,10.17,17.96,18.53,15.90
23.,Ellen.Indl.Gas,337.00,2240881,2317952,4.08,19.80,17.77,800413,22.37,-34.15,4754.66,86.85,40.60,12.91,52.80,40.62,8.47,15.23
24.,Sudarshan Pharma,36.06,2572000,1616000,4.49,6.09,-14.06,571455,20.12,20.20,867.81,45.05,12.89,-21.05,-50.79,39.50,32.87,15.13
25.,Edelweiss.Fin.,124.88,10533219,4287231,5.03,3.07,4.47,3251418,10.13,30.35,11815.32,83.05,54.83,21.40,1.83,1.99,13.98,14.10
26.,SKF India,1606.30,1471845,332993,5.15,5.73,2.50,116791,-5.01,-23.52,7918.93,32.31,-40.78,-1.14,405.68,-5.67,17.89,13.33
27.,Container Corpn.,533.65,5698333,2993028,4.22,4.23,8.21,2690431,2.86,-1.46,40647.71,0.08,-6.15,-4.57,2.05,7.09,1.65,12.41
28.,Cyient,879.65,1656300,601773,4.66,2.90,3.15,605121,1.03,-24.76,9781.25,-32.31,-34.86,7.72,65.95,-11.61,3.19,12.28
29.,Azad Engineering,2665.10,1897250,894478,7.49,8.52,11.39,596887,27.02,75.49,17221.05,20.29,39.10,6.85,-4.48,68.77,28.72,11.92
30.,Tilaknagar Inds.,553.70,4817288,2222479,4.29,13.36,24.25,1203049,28.33,9.75,13701.34,-30.28,-18.70,10.17,311.87,22.85,100.02,11.78
31.,Mukka Proteins,26.16,5782066,1494024,8.19,13.25,11.51,511422,11.04,-6.44,785.45,1142.76,59.13,28.65,-12.73,4.98,76.01,11.61
32.,Uttam Sug.Mills,264.99,423624,213317,4.52,3.99,13.21,157897,9.36,5.81,1013.75,-91.55,-9.38,28.99,-97.62,23.77,7.83,11.53
33.,Mishra Dhatu Nig,444.85,17310461,4305504,8.91,2.44,6.76,1391345,9.02,11.09,8340.96,27.42,14.04,-56.67,-79.02,23.24,18.17,11.30
34.,TruAlt Bioenergy,489.35,1040209,478939,5.21,5.40,14.97,527768,8.23,,4228.12,1108.25,-9.56,5.27,-13.90,16.60,1.80,10.44
35.,Munjal Auto Inds,119.37,43420355,8845580,19.57,15.16,14.64,2296660,33.21,57.83,1186.92,160.31,48.27,13.80,2362.70,40.27,22.26,9.77
36.,Hubtown,189.71,1079654,574013,6.47,5.57,-7.80,491963,-10.64,-45.22,2694.13,-68.57,-21.79,-2.74,1.37,-14.29,28.63,9.52
37.,Ugar Sugar Works,46.49,931334,522705,5.30,1.66,17.07,325169,11.49,14.59,526.95,110.85,258.90,22.69,-96.74,25.99,17.18,9.00
38.,Morepen Labs.,80.89,53544539,26390826,10.11,1.85,29.30,23875609,92.87,70.98,4426.98,424.65,26.79,17.62,258.92,109.83,9.49,8.05
39.,NELCO,1047.50,1257484,624978,7.54,6.47,17.14,490035,55.90,22.22,2391.26,15.56,-11.82,1.07,114.68,64.21,2.05,7.21
40.,Kopran,181.15,201618,205153,5.00,-4.99,-12.61,132910,15.88,14.65,874.84,-10.07,-28.42,-34.20,-64.49,35.03,11.96,6.65
41.,Spice LoungeFood,30.71,1038501,283116,9.99,22.25,27.11,123745,62.92,-22.19,2140.87,236.26,71.50,42.87,100.81,-20.28,50.30,6.42
42.,PVP Ventures,36.67,2805384,4315906,7.38,10.65,26.14,1738666,35.56,91.59,955.18,-110.74,-252.57,196.85,21.43,25.63,229.82,6.22
43.,Prince Pipes,281.60,545107,223407,4.45,2.64,5.35,242253,11.83,-6.02,3100.75,600.21,347.23,-28.31,-39.85,5.84,5.10,6.12
44.,IFCI,76.66,43552619,19391731,4.29,2.34,2.87,16912890,21.12,43.64,20651.80,-17.40,-44.13,-30.48,76.95,21.93,4.81,5.03
45.,Munjal Showa,140.08,476388,136263,5.81,4.83,4.81,105521,7.01,5.99,560.84,35.63,4.80,0.12,22560.00,6.37,12.33,4.53
46.,Ester Industries,101.66,856590,1050067,5.60,15.52,14.81,286965,3.97,-5.09,1059.16,360.06,-107.51,25.69,136.59,6.75,10.11,2.76
