S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1.,Shukra Pharma.,46.79,3377847,1935477,5.31,5.91,54.78,1725726,63.60,71.58,2056.03,1359.22,256.13,273.33,968.79,12.94,115.03,36.91
2.,Coal India,417.85,37765716,24431844,4.05,3.56,0.44,11085198,-13.25,9.93,256933.81,0.63,-6.00,-0.51,-18.87,-5.13,6.10,34.97
3.,Modison,520.65,889367,464172,4.24,26.49,84.76,258343,50.72,218.11,1696.31,506.77,294.95,-5.86,-6.00,298.51,66.70,30.98
4.,Global Education,117.31,496539,157752,6.51,5.63,15.74,119296,8.60,82.64,597.13,0.23,4.18,-41.02,-43.28,16.22,28.49,29.20
5.,Syncom Formul.,21.39,31290688,27554384,6.58,25.60,62.17,13756155,46.81,26.42,2010.66,56.62,49.06,-6.97,0.08,78.40,0.24,26.84
6.,Supriya Lifesci.,841.20,1009607,332237,4.74,7.60,-4.37,392861,-11.65,27.94,6776.55,-30.90,11.58,-31.38,-67.61,33.97,28.14,25.13
7.,Q-Line Biotech,619.55,164000,194720,5.54,15.38,12.22,95127,31.46,,1445.30,147.29,25.23,,,,8.99,22.46
8.,T B Z,418.25,29553082,9757461,14.03,36.77,45.38,3630367,138.31,122.59,2793.29,50.76,189.44,1.36,-49.85,202.68,29.14,21.89
9.,Antelopus Selan,951.15,13159056,2671943,20.00,20.09,13.97,730928,3.91,70.44,3343.41,450.71,119.13,28.46,42.65,60.32,46.50,21.22
10.,Aries Agro,495.35,501433,172592,7.95,-1.66,45.39,163394,48.29,16.76,644.94,48.65,29.76,1.51,409.81,44.92,19.34,21.20
11.,Sai Life,1587.00,2843958,1388450,4.54,8.62,19.02,794210,36.89,92.27,33676.42,21.22,50.65,-7.95,-29.69,53.04,17.74,19.65
12.,Windlas Biotech,1096.60,1608625,361383,8.75,12.08,26.37,285145,35.19,12.84,2264.65,-0.11,2.42,4.03,10.17,47.52,18.53,15.90
13.,Milky Mist Dairy,252.04,59786900,35476003,8.62,13.48,,38526725,,,19409.83,1024.78,186.06,13.93,-31.49,,34.75,15.35
14.,Heritage Foods,378.75,5480328,1253687,7.08,-1.19,13.03,580871,17.31,-21.63,3512.66,-38.42,-28.12,15.60,4.30,23.65,11.53,14.80
15.,E to E Transportation,347.70,576000,202880,17.27,22.00,24.45,116509,20.31,,600.05,1.64,16.91,,,88.05,51.51,14.79
16.,Ganesh Benzopl.,122.18,269522,197820,4.99,-0.07,7.51,160839,20.76,24.29,866.68,-6.54,-21.88,5.41,14.98,52.82,13.31,14.60
17.,Rishabh Instrum.,746.00,1239156,410805,7.23,8.48,14.73,454569,45.12,70.32,2887.29,-3.40,110.03,-3.21,-3.30,93.92,5.63,14.50
18.,Manaksia Steels,109.30,526657,482971,5.00,25.60,45.33,215492,61.93,87.41,718.77,252.44,244.56,-2.53,19.62,91.89,83.58,13.42
19.,Gufic BioScience,438.80,720645,224636,4.22,7.43,12.37,152001,23.83,19.76,4406.68,86.08,20.26,3.48,9.19,57.19,15.46,12.17
20.,Bhageria Indust.,276.35,683014,264359,5.00,24.88,25.86,89979,53.09,41.83,1212.09,199.75,54.14,6.47,154.89,81.45,55.21,11.01
21.,Onix Solar,365.75,425611,520716,4.99,26.71,-35.93,264045,-49.50,67.71,1350.38,1962.38,645.78,33.34,-18.85,-25.80,77.60,10.21
22.,DCW,47.61,6427181,2139151,6.80,1.77,1.88,1398384,-2.20,-36.20,1403.97,203.34,104.88,-11.03,91.10,9.07,11.82,9.69
23.,MSP Steel & Pow.,36.14,1559224,1169205,5.77,4.33,3.05,989770,-11.72,17.72,2029.98,23.21,905.49,1.25,-74.20,15.39,4.03,9.69
24.,JTL Industries,92.40,10476300,9737123,5.04,14.06,22.01,4362982,30.16,21.13,3532.88,99.45,35.84,4.18,-6.60,72.77,19.01,9.57
25.,Birla Cable,341.60,353411,232573,4.99,27.62,59.63,229488,44.94,114.75,1028.59,2190.30,628.86,24.54,183.90,145.60,28.14,8.93
26.,Jaykay Enter.,169.40,1023606,969182,4.59,8.53,10.90,535761,1.47,21.74,2551.92,-78.19,85.18,21.93,-97.49,27.94,117.55,8.18
27.,JSW Energy,539.80,3786116,3241303,4.21,-0.68,-5.13,2446710,-8.52,5.57,98971.40,-36.62,-7.65,15.75,-7.12,10.57,35.37,8.16
28.,Aegis Vopak Term,286.30,3360364,1296258,6.00,8.39,-5.14,1005999,49.47,17.65,31698.32,-6.96,42.89,-3.98,-6.02,43.42,26.06,7.56
29.,Uflex,701.80,2549022,718432,8.80,7.89,45.53,818392,62.27,29.59,5063.87,629.63,142.92,32.30,115.82,52.33,10.36,7.03
30.,Bodal Chemicals,145.45,31686004,10785461,14.74,61.65,96.63,2804028,103.17,122.06,1833.45,218.78,128.70,20.58,-5.24,224.59,27.57,6.68
31.,Spice LoungeFood,23.43,770073,836117,4.97,-10.84,-8.15,384115,-2.70,-51.71,1633.36,507.63,250.78,-14.63,-3.02,-22.13,20.89,6.42
32.,Bluspring Enter.,132.44,1129651,506700,9.03,3.36,15.39,666342,58.04,63.69,1977.07,88.70,152.46,9.77,-141.62,154.50,11.84,5.22
33.,IFCI,98.32,453374024,144770899,12.67,15.07,27.18,54654203,19.93,85.13,26478.36,-17.40,-44.13,-30.48,76.95,80.11,4.81,5.03
34.,Zim Laboratories,133.95,732059,191890,13.57,5.97,20.43,98258,24.48,76.39,712.95,-114.97,-60.60,-10.53,-207.49,100.88,7.55,4.76
