S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Sonata Software,281.30,7045594,2654479,5.81,2.57,-13.69,1370162,-7.95,-25.95,7888.35,-1.12,18.14,29.29,-17.16,21.30,3.97,30.67
2,Redtape,120.87,34785444,8879702,4.11,4.58,-1.08,1975469,-9.03,-12.05,6681.79,15.23,38.47,-28.75,-36.35,1.26,18.98,24.48
3,Diamond Power,387.50,1659723,1197808,5.00,15.24,5.16,1083421,89.48,144.74,23140.76,197.81,396.76,-1.02,6.69,213.00,96.48,24.20
4,Pasupati Acrylon,70.48,716654,220952,5.07,5.01,19.52,108258,7.06,56.73,635.00,1465.14,270.90,-2.60,4.22,58.77,51.22,21.15
5,Firstsour.Solu.,283.35,35348388,9177096,14.44,9.91,6.08,2532141,16.20,-22.97,20025.55,30.01,28.40,5.47,-19.16,28.67,19.71,16.80
6,HMA Agro Inds.,23.41,36654271,12669437,16.64,16.99,-3.42,5027497,2.14,-23.42,1173.47,6158.02,148.84,33.64,513.73,-0.64,42.60,15.99
7,eMudhra,592.85,1742421,534177,20.00,16.45,14.27,241952,29.08,-14.32,4903.04,29.22,25.52,-1.39,8.22,46.22,29.74,15.69
8,Hatsun Agro,1275.00,923212,303840,4.13,6.43,30.00,166491,39.34,40.65,28437.57,-9.72,23.28,19.90,162.70,28.71,17.54,15.19
9,E to E Transportation,378.40,315200,173200,7.55,0.92,41.96,191886,29.15,,653.03,1.64,16.91,,,106.04,51.51,14.79
10,Rossell Techsys,1265.40,1116491,391372,4.21,3.89,17.88,299153,24.01,70.49,4766.97,116.36,73.64,8.72,-5.05,84.64,82.91,11.50
11,Optiemus Infra.,604.95,2104219,666858,6.83,8.74,7.82,353367,34.11,-4.65,5438.30,45.77,10.56,82.07,-5.74,81.37,20.93,10.91
12,ACME Solar Hold.,420.40,5475382,2126571,4.50,1.89,12.38,2563085,26.70,35.09,29750.27,64.83,45.44,56.52,70.15,60.44,47.52,8.89
13,Shoppers Stop,398.50,2839076,727420,6.14,4.65,-6.09,162554,10.96,-26.07,4389.36,9.47,-205.38,6.75,12.84,37.82,9.62,7.03
14,Western Carriers,91.45,471407,288728,4.50,10.88,5.66,105318,-10.94,-35.33,933.45,-19.46,-35.60,-6.22,5.21,0.85,9.28,6.79
15,Kopran,249.90,16540462,4418437,6.22,4.34,31.39,1327118,38.94,43.14,1205.17,-10.07,-28.42,-34.20,-64.49,118.52,11.96,6.65
16,Igarashi Motors,437.05,13857892,3497783,5.49,5.16,-4.38,710906,6.48,-11.37,1368.02,169.72,-11.45,11.02,325.79,42.64,11.09,4.58
17,Tata Chemicals,734.90,1867397,896374,19.99,20.93,9.58,618211,0.81,-24.66,18733.02,-106.75,-192.92,23.76,102.84,15.40,2.04,3.42
18,Tata Inv.Corpn.,718.35,26442349,8934324,10.36,15.48,7.65,1845144,6.32,4.23,36336.76,-1.91,31.64,279.34,124.83,17.92,30.99,1.57
19,Balaji Telefilms,95.48,1658509,500886,5.35,2.21,3.36,371234,12.13,-20.09,1165.59,489.25,-125.45,404.60,258.12,12.75,0.41,-9.54
