S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Manipal Payment,372.60,9343261,4429710,10.04,,,4429710,,,8653.65,,64.03,,,,5.63,43.28
2,Oriana Power Ltd,308.30,1024875,474990,11.74,23.25,19.57,152146,-3.38,-40.37,3132.20,19.02,59.15,32.17,7.22,-3.82,83.72,39.61
3,Unified Data,469.40,200800,334080,6.91,25.17,30.03,113352,22.24,17.28,943.03,94.05,-7.84,-6.75,35.96,52.28,30.75,34.14
4,Solex Energy,735.20,1174308,282116,8.28,11.79,-7.67,97143,-32.61,-54.51,793.26,-68.18,28.06,-69.10,-86.95,-24.42,103.88,34.04
5,Shanti Gold,288.07,13452439,3955607,11.64,18.09,6.49,2659448,29.88,28.88,2211.41,104.87,206.97,8.72,-2.79,76.20,110.66,33.90
6,Cupid,273.85,56896321,39853298,6.06,-2.20,-4.39,19636134,49.96,522.10,36844.94,194.01,188.13,18.90,21.79,223.51,116.02,33.88
7,Wanbury,233.10,275433,162900,4.67,4.72,-12.78,129273,-15.04,-6.59,815.99,-75.98,38.01,0.61,-85.07,2.76,3.63,30.66
8,Raymond Realty,671.45,13542083,3170445,13.90,18.77,13.20,1256318,7.51,3.52,4459.88,-18.61,1023.82,-54.47,-91.66,83.11,284.43,29.61
9,Gaudium IVF,117.69,466257,304874,5.69,1.09,3.57,220596,8.34,,858.55,-42.02,28.02,-36.14,-78.71,56.07,47.57,29.28
10,Premier Polyfilm,96.72,6836953,1502747,19.38,17.07,8.53,647911,54.28,104.35,1013.94,51.33,33.81,8.58,5.83,58.84,19.36,28.86
11,Jain Resource,302.95,5576587,4837945,4.02,10.24,2.94,2151814,-13.33,,10448.99,21.02,66.12,-12.26,5.12,-34.70,65.35,25.66
12,Supriya Lifesci.,1000.90,1056383,449234,6.58,14.02,25.56,356074,7.84,35.49,8073.58,-30.90,11.58,-31.38,-67.61,70.35,28.14,25.17
13,Bikaji Foods,591.10,4550608,1029384,6.76,9.27,-1.97,452927,-7.73,-23.03,14835.77,2.22,29.33,1.63,1.51,-4.20,10.54,21.99
14,Pasupati Acrylon,79.82,1142260,541036,4.52,17.26,30.28,221501,25.54,70.99,712.65,1465.14,270.90,-2.60,4.22,91.19,51.22,21.15
15,Rolex Rings,183.58,7427033,2068654,6.42,8.93,1.32,1627665,23.98,33.29,4813.13,22.34,4.92,-0.44,40193.33,59.18,1.82,21.08
16,Olectra Greentec,1275.90,1881858,611418,4.82,9.24,-1.67,449182,-14.56,-23.64,10480.43,-0.31,25.90,-10.73,-53.55,24.39,38.43,21.05
17,Elecon Engg.Co,466.60,32497093,6676940,10.95,14.55,6.40,2171364,-10.65,-22.93,10474.24,-34.57,-32.70,-30.18,1072.50,25.33,3.05,20.86
18,Pearl Global Ind,1300.80,806023,327069,8.86,10.25,9.67,202351,25.62,91.52,12020.46,50.93,24.25,16.34,22.55,86.88,13.75,19.93
19,Advance Agrolife,119.37,570058,285783,10.38,8.37,1.16,203805,8.39,,766.96,152.24,78.66,166.71,202.28,28.98,48.33,19.62
20,Filatex India,108.72,20352317,11539063,7.57,24.65,29.35,6908253,106.22,100.44,4820.65,20.65,34.47,16.22,22.09,183.20,0.22,19.06
21,Prostarm Info,138.08,2021633,499679,8.01,7.92,-0.07,275332,-0.40,-33.04,812.87,221.15,26.42,-26.35,-42.81,13.27,32.89,17.88
22,Motisons Jewel,18.89,148073788,125444484,4.71,13.66,14.76,58527076,33.78,0.43,2147.56,37.61,49.19,-21.92,33.13,68.96,10.73,17.80
23,Mangalam World.,44.63,3476137,2020607,6.19,12.30,9.41,2087891,20.26,87.28,1323.65,17.69,63.43,19.35,-21.80,71.92,12.75,17.70
24,Scoda Tubes,137.74,3061251,745407,6.90,10.78,5.93,319893,-4.38,-22.02,824.87,-25.85,8.73,0.63,-16.93,10.59,11.24,16.54
