S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1.,XTRANET,279.83,14335035,5233473,19.46,43.64,105.44,2586358,,,1467.12,74.43,35.33,-68.65,-75.06,,32.31,32.81
2.,NEETUYOSHI,194.65,168800,137280,4.45,23.63,18.98,82971,36.55,48.53,755.48,58.96,52.47,22.76,16.72,118.93,39.33,31.78
3.,MSTCLTD,785.65,1063914,399333,7.01,4.60,32.88,487615,44.17,56.93,5531.73,37.51,8.30,-20.67,-24.61,85.73,21.02,30.28
4.,JAMNAAUTO,126.61,3907957,1614379,4.91,4.29,-12.50,2100610,6.03,17.53,5067.99,6.05,34.55,-27.17,-44.40,2.20,15.89,27.47
5.,CEINSYS,708.75,171061,100422,4.56,-0.23,-15.84,104740,-24.65,-59.48,1483.63,-2.18,61.26,-7.57,-16.73,-27.13,32.16,27.46
6.,AIRFLOA,508.50,321500,156600,4.37,8.56,61.17,149905,57.21,,1218.88,68.77,53.53,152.99,123.90,82.55,66.12,25.87
7.,CENTUM,4376.90,855989,237039,16.18,27.03,13.63,110391,30.45,47.58,6459.55,-36.87,67.28,-40.03,6332.93,53.20,8.19,25.53
8.,SUPRIYA,909.10,1301456,595246,6.60,13.88,-1.55,440442,-5.59,39.53,7296.59,-30.90,11.58,-31.38,-67.61,52.39,28.14,25.13
9.,SIGNPOST,269.50,4007084,866081,10.34,5.79,0.73,247981,-0.20,-4.47,1440.48,22.32,94.16,-5.97,-11.04,17.15,20.42,25.13
10.,RADHIKAJWE,94.28,33018102,11176434,13.37,39.78,35.77,3863305,65.75,0.14,1112.64,25.48,26.78,-21.11,203.45,51.72,16.75,25.07
11.,RAJOOENG,54.16,549404,351471,4.98,12.62,4.80,204048,1.79,-45.39,971.10,3.40,1.76,55.00,635.17,-10.00,32.79,24.70
12.,BBOX,774.25,1332014,498232,8.70,3.56,4.00,490292,-20.19,74.18,13752.55,20.84,4.15,1.63,-13.65,50.60,12.20,21.56
13.,VENUSPIPES,1805.40,643167,204698,10.69,9.88,12.56,153237,27.94,36.94,3738.60,6.66,15.37,6.07,3.57,76.46,21.73,21.27
14.,BHARATSE,227.65,787130,274263,7.54,1.52,-5.50,330806,22.04,41.99,1427.55,43.90,34.03,0.62,-0.30,32.12,48.32,20.19
15.,SOUTHWEST,222.26,620668,257150,4.39,8.46,-4.22,322530,-14.56,54.37,724.58,289.17,135.81,-20.62,-28.43,6.08,39.23,20.02
16.,AVALON,2352.50,1721677,786230,7.10,-0.88,19.70,591046,43.49,154.89,15716.39,145.39,67.08,0.94,-15.26,149.50,44.38,19.54
17.,JOJO,211.30,169509,102499,4.99,17.32,36.06,85736,100.57,79.22,1457.16,445.00,533.64,-66.18,-6.03,99.91,701.27,19.49
18.,NRBBEARING,483.00,1080580,389981,8.05,1.93,4.66,511343,10.04,71.52,4677.70,9.09,10.71,-0.66,-10.29,81.51,14.37,18.41
19.,TALBROAUTO,431.80,1872498,440016,5.90,4.96,-1.72,276266,19.93,55.83,2670.34,35.23,16.59,0.79,-5.06,78.32,8.71,18.41
20.,STAR,1178.80,2716228,740544,11.25,15.00,17.43,600573,15.91,32.40,10878.15,0.75,54.61,-4.39,28.01,31.86,8.07,18.32
21.,FCL,56.66,45101061,19846342,10.00,11.56,36.07,17488990,42.15,139.17,6598.06,54.78,17.35,20.05,10.07,151.49,91.44,18.30
22.,PDMJEPAPER,101.43,6066973,1357051,8.81,6.53,3.89,505866,22.93,-21.03,966.81,-6.95,-12.79,1.18,70.99,32.33,1.45,18.14
23.,XCHANGING,64.30,345266,107862,4.72,5.51,-4.37,98022,-1.05,-28.01,717.50,9.80,15.33,4.56,-6.90,5.34,8.25,18.02
24.,GUJTHEM,429.30,1144058,1124415,4.36,1.68,20.61,535140,7.02,11.71,5581.98,22.19,9.15,-0.99,1.65,47.73,17.51,17.86
25.,JASH,511.15,521394,218087,6.82,9.79,2.62,139963,14.39,-0.81,3228.80,195.48,4.88,-48.41,-91.02,35.94,1.36,17.69
26.,MGEL,15.72,1508328,366378,10.39,11.41,7.89,158173,-4.61,4.11,517.70,25.04,46.52,-10.52,-32.45,55.95,41.38,16.96
