S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
27.,SYRMA,1634.80,14102571,3483510,12.18,13.76,14.75,1770469,30.08,96.67,31488.28,101.19,84.00,8.44,-11.36,115.82,53.01,16.78
28.,MVGJL,215.88,3371382,1231155,20.00,42.94,27.03,348897,43.92,9.44,1056.87,20.25,21.18,-5.38,-2.10,40.16,21.52,15.63
29.,MTARTECH,7519.00,189668,134609,5.00,6.75,6.12,111378,0.82,434.02,23165.82,349.69,126.78,17.87,13.89,110.30,53.38,15.20
30.,SENORES,1497.50,439795,274174,4.84,4.52,11.54,260997,36.82,108.23,6902.80,55.70,86.99,2.87,-16.96,101.83,50.95,15.13
31.,NRL,132.78,251730,136331,4.62,8.39,13.58,80079,74.27,89.23,917.09,83.05,26.92,38.42,121.26,161.43,40.64,15.12
32.,ANUHPHR,90.29,1220542,324862,11.33,10.06,13.83,138919,16.43,6.76,903.37,37.59,-4.29,-4.11,-2.23,15.39,9.70,14.94
33.,DOLPHIN,720.40,423247,144100,6.88,23.51,75.26,177746,83.99,70.55,2880.86,30.71,43.29,-5.53,-47.72,78.38,73.95,14.92
34.,PITTIENG,1176.20,1756342,428237,8.42,6.31,25.13,279946,29.54,29.30,4433.72,28.93,-1.10,5.59,10.86,43.99,12.19,14.84
35.,GANESHBE,129.39,588012,285925,5.00,12.32,7.46,174865,16.98,34.46,926.44,-6.54,-21.88,5.41,14.98,65.84,13.31,14.60
36.,RISHABH,809.95,826667,543898,9.68,14.81,26.71,513826,54.22,70.10,3126.43,-3.40,110.03,-3.21,-3.30,105.70,5.63,14.50
37.,IONEXCHANG,439.10,5207132,1531869,7.31,20.68,18.16,546024,26.60,5.24,6436.20,-91.56,-47.98,-18.86,-87.40,18.82,10.15,14.17
38.,ARFIN,95.27,4928096,1822083,9.20,9.22,8.22,1393035,11.15,149.66,1614.63,246.08,124.69,8.48,-38.18,18.67,22.40,13.96
39.,RML,1388.20,1024726,665567,7.12,22.88,31.75,182410,49.67,64.93,3835.85,56.04,188.49,-0.60,-18.56,69.17,16.01,13.95
40.,GMMPFAUDLR,1235.70,1330787,627550,7.65,18.54,25.16,281254,60.12,6.63,5557.06,114.35,48.91,-1.99,44.07,42.08,13.91,13.64
41.,SHREEPUSHK,514.90,419459,150953,8.34,9.44,26.48,127389,45.80,47.85,1663.32,9.40,7.99,28.37,78.17,61.87,15.65,12.97
42.,AEROENTER,154.73,3450138,1311337,9.11,11.76,22.42,945766,47.29,78.55,1758.55,854.16,202.54,-5.30,302.10,112.89,27.43,12.63
43.,MMP,444.95,388765,164531,10.10,13.09,36.38,137905,65.78,61.51,1130.29,15.32,13.12,-6.84,-23.85,93.57,21.35,12.49
44.,SAKAR,1109.20,339553,432699,9.40,28.48,19.96,183767,36.33,233.74,2467.96,120.13,82.27,2.63,-6.72,99.68,43.76,12.42
45.,PAISALO,79.41,36969710,23836664,7.17,17.98,15.62,11317506,31.95,129.58,7232.28,29.98,22.74,-0.24,-15.12,142.62,22.66,12.38
46.,CARTRADE,3179.90,1313528,470353,5.99,6.30,13.85,434234,45.36,21.82,15418.38,24.45,53.38,-0.97,-19.90,88.25,19.97,11.82
47.,ALLTIME,214.65,279996,284170,4.16,7.49,-2.25,132813,-5.83,-25.42,1403.94,-5.62,-20.53,10.50,28.72,0.58,4.68,11.57
48.,SMCGLOBAL,84.95,4014563,1198613,4.55,7.15,6.80,601208,28.71,24.76,1783.91,22.97,-11.08,-0.36,71.16,16.55,12.23,11.38
49.,IOLCP,213.04,10733007,6322094,6.55,9.99,26.92,5642645,60.37,119.83,6250.18,89.87,67.75,22.09,21.25,197.46,18.56,11.29
50.,ONIXSOLAR,423.20,1077866,555964,4.96,27.55,-17.10,369616,-39.17,107.41,1562.57,1962.38,645.78,33.34,-18.85,-14.99,77.60,10.21
