S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Canara Robeco,266.81,32498446,6847932,5.79,1.10,4.96,1911562,-5.64,,5297.55,23.98,8.87,40.28,82.79,6.57,13.00,40.11
2.,MPS,2564.50,1304083,288667,20.00,27.85,42.39,92144,54.81,4.85,4380.22,41.19,18.76,9.30,7.12,42.57,10.09,39.27
3.,CRISIL,4495.20,498702,168705,4.48,6.78,6.41,89816,3.25,-22.30,32875.70,26.16,21.53,1.68,-7.20,0.08,22.03,32.55
4.,Premier Polyfilm,79.48,1815140,2063226,10.28,18.27,23.07,632775,45.49,50.22,832.73,51.33,33.81,8.58,5.83,72.52,19.36,30.79
5.,Bajaj Auto,10998.50,1549184,726048,5.72,6.54,7.92,501035,15.16,32.59,302109.42,45.93,55.23,21.63,-8.69,16.84,36.91,28.24
6.,Data Pattern,4782.80,7341529,2010573,12.70,14.16,-1.71,1036761,15.66,70.32,26792.75,21.30,17.36,99.19,137.36,119.14,30.55,21.92
7.,Sri Lotus,162.70,19287708,5567961,9.81,14.57,10.97,1913563,14.55,,7925.32,11.45,4.26,37.26,43.70,6.69,40.39,21.15
8.,P N Gadgil Jewe.,636.60,2637659,653657,5.97,6.91,15.69,468542,-5.20,5.73,8634.88,45.60,88.27,7.32,-47.19,14.18,41.56,20.92
9.,Sheetal Cool,582.60,346375,149687,6.36,22.13,18.54,87563,83.27,93.04,612.96,72.36,4.65,108.69,103.74,93.07,13.91,16.00
10.,Nephrocare Health Services,672.65,415412,201079,7.37,5.69,-7.15,242433,24.53,,6779.25,22.11,11.62,2.27,-5.80,32.27,32.16,15.34
11.,Laxmi India Fin.,129.81,292318,165290,5.00,21.69,21.83,90848,11.55,,689.83,40.84,38.26,17.77,103.98,39.01,29.02,12.72
12.,Huhtamaki India,291.98,26090021,6645815,10.52,31.35,50.71,1762063,58.14,26.73,2204.17,76.83,87.18,22.33,70.82,61.25,4.68,11.98
13.,GMR Urban,100.94,2711111,986717,4.41,1.49,-0.79,981761,-6.86,-12.69,7881.15,-7.90,37.96,7.23,29.14,-0.64,15.57,11.96
14.,Emami Paper,118.63,1483957,401817,20.00,31.74,36.69,118808,56.79,17.32,718.73,511.89,383.91,12.84,22.57,51.82,6.56,11.42
15.,Cosmo First,865.45,270369,128031,4.36,4.63,11.76,151502,20.87,-22.36,2272.06,53.17,25.04,13.54,25.12,49.89,25.69,11.23
16.,Wakefit Innovati,138.86,32093733,7210370,11.92,6.39,11.58,2268295,-3.47,,4573.96,564.05,558.94,-18.45,282.14,-23.81,16.90,11.19
17.,Bajel Projects,184.57,1841244,458232,4.24,1.33,-11.09,286541,-0.03,-25.69,2134.94,193.36,49.33,79.21,3466.67,24.74,7.44,10.96
18.,M & M Fin. Serv.,378.15,59608810,17360967,8.09,16.37,28.64,8605644,27.30,42.40,52441.84,75.43,46.24,3.24,-1.38,4.85,13.56,8.72
19.,Tirupati Forge,81.55,3362807,1613770,5.98,18.21,66.77,1858398,79.03,91.97,1053.55,16.92,-19.64,-13.77,-24.75,140.84,41.31,7.53
20.,Bluestone Jewel,776.05,33171766,11887104,6.51,23.91,48.98,3168576,41.87,,11851.10,120.16,128.59,8.13,-80.89,69.85,40.02,7.07
21.,Uflex,490.70,12271430,2475667,11.60,11.45,15.66,632288,23.14,-18.16,3554.74,76.44,43.89,12.29,443.02,8.55,2.42,7.03
22.,West Coast Paper,549.00,740627,190135,5.65,3.29,8.13,229355,10.88,-2.07,3625.10,17.87,-52.86,20.22,82.55,40.54,5.33,6.16
23.,TARC Ltd,122.71,6732403,1624259,6.33,1.70,-5.35,3743051,-11.95,-37.09,3608.62,101.55,108.25,443.77,107.66,-21.35,879.04,2.26
