S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Indian Energy Ex,124.74,20837433,8779581,4.92,5.85,0.95,6339680,-8.15,-40.12,11112.69,10.69,14.24,19.70,7.71,-10.45,13.64,51.79
2.,Emmvee Photovol.,365.35,24052911,6542160,8.16,9.24,8.62,4002224,37.59,,25302.32,102.64,140.80,-10.54,-3.08,69.69,84.07,44.83
3.,Dixon Technolog.,14507.00,2527603,1196285,6.27,7.64,18.57,819570,27.57,-9.89,88595.05,13.15,86.13,-1.51,-7.05,35.18,25.77,41.97
4.,C P C L,1240.80,7964327,3045868,7.22,10.62,4.85,1321538,19.10,65.63,18473.74,202.57,1349.25,7.23,41.96,44.29,7.89,35.11
5.,Neetu Yoshi,153.60,180800,119680,4.99,8.97,5.46,81333,45.90,13.37,596.16,58.96,52.47,22.76,16.72,62.54,39.33,31.78
6.,Algoquant Fin,65.14,5575234,2222095,7.17,13.27,13.52,1671066,17.43,-4.85,1837.71,1398.11,0.49,47.48,165.11,-0.82,0.37,31.43
7.,Premier Polyfilm,78.12,3819508,951952,16.25,22.48,36.60,361867,45.04,46.92,819.83,53.49,22.85,2.13,-7.54,46.21,13.60,30.79
8.,A B B,7667.50,2730006,834198,6.43,12.43,9.21,425035,9.08,38.13,162513.46,-25.23,-18.64,-6.98,312.07,57.36,8.05,29.93
9.,Gaudium IVF,136.94,388472,468561,4.66,14.90,32.23,226825,41.31,,997.04,29.41,28.02,23.83,130.30,,47.57,29.27
10.,Tanla Platforms,588.30,2503574,1405042,4.32,12.77,11.05,632490,19.79,-10.51,7793.59,14.48,0.37,5.04,2.25,27.13,9.68,26.32
11.,C2C Advanced,412.50,208950,90360,7.72,3.41,2.70,99207,-11.06,-31.18,699.95,143.17,134.85,-8.05,23.81,-7.05,180.35,26.17
12.,Avanti Feeds,1035.70,2365458,976180,4.70,12.67,3.48,695950,-29.70,43.69,14107.40,-12.84,21.67,6.09,-15.05,28.52,8.08,25.93
13.,Menon Bearings,190.17,199693,97347,5.00,9.37,7.24,126306,51.10,50.33,1072.65,67.38,61.45,5.29,2.39,45.18,27.97,25.49
14.,CSM Technologies,106.24,806300,565691,5.08,7.13,,459295,,,554.26,,4.80,,,,2.55,23.84
15.,Himadri Special,722.35,29546420,9886163,5.99,11.12,4.81,13152425,46.36,40.49,36458.93,26.33,30.01,11.19,10.07,52.81,9.80,22.12
16.,Grindwell Norton,2382.30,361730,102859,16.44,17.89,16.36,115393,51.17,34.03,26281.12,28.31,12.08,11.88,24.86,48.88,9.30,21.18
17.,GSP Crop Science,493.00,1048549,701826,7.89,24.90,7.88,409878,16.89,,2295.13,-9.49,24.64,48.87,427.33,,17.84,18.95
18.,Kirl. Electric,121.51,344518,143311,4.99,9.60,16.79,83351,-12.48,-12.51,793.56,83.64,368.49,8.02,-115.37,33.13,8.37,18.25
19.,M R P L,173.33,213375792,58422989,10.07,15.80,4.72,17148027,-5.35,17.94,30333.49,317.07,1067.35,59.73,708.34,14.59,23.40,17.69
20.,A C J K Exports,179.17,1849122,974888,4.97,3.78,37.53,1175318,37.01,,1852.95,65.64,72.25,21.62,-42.46,,14.51,15.70
21.,Arisinfra Solu.,113.41,5701300,1253328,6.21,3.26,-6.36,571407,-11.72,-30.20,929.62,1332.30,1880.87,26.78,18.56,-11.42,39.05,15.57
22.,SRF,2889.30,1592675,585956,4.10,4.80,5.30,545624,15.83,-9.74,85667.63,12.35,52.26,24.31,34.52,-4.56,7.44,14.61
23.,GNA Axles,592.00,3122757,1579289,7.66,25.98,54.37,1003216,35.81,78.10,2541.04,66.39,29.23,14.48,24.33,67.07,8.11,14.33
24.,Mrs Bectors,192.23,74487612,17682781,13.77,12.36,4.40,4961932,0.01,-35.48,5884.56,3.30,-1.46,-8.90,-7.04,-15.77,9.06,14.17
25.,HLE Glascoat,437.45,653622,415959,4.49,4.50,14.52,407594,32.04,4.92,3038.29,-9.28,14.56,19.94,338.04,-0.59,31.67,11.79
26.,Prime Focus,290.84,2899622,1030382,9.84,18.97,24.21,723780,-15.71,66.59,22620.19,-24.77,320.63,14.68,70.09,23.68,29.92,11.50
27.,IIFL Finance,567.10,4792338,2106707,4.32,4.11,7.38,2149897,19.81,7.66,24122.40,182.57,194.21,7.73,24.32,-10.50,30.62,10.87
28.,UPL,625.85,5611859,2220712,4.78,7.56,1.71,2936045,-5.84,-6.79,52718.71,-0.46,112.58,49.44,164.08,-20.79,11.15,10.17
29.,B H E L,435.40,59652190,24513631,4.18,14.10,13.33,18486371,37.44,71.18,151536.53,182.70,739.36,-37.47,-70.81,64.05,27.00,9.14
30.,PNB Gilts,91.34,2628140,859572,4.27,4.59,2.41,1023578,21.95,-9.61,1647.41,-82.51,-22.07,-0.13,-75.90,13.13,1.35,6.14
31.,Ramkrishna Forg.,589.70,13829198,3659646,4.65,5.17,1.06,1080118,10.19,-9.46,10720.69,-71.88,-80.17,10.77,312.23,18.82,5.06,5.60
32.,Graphite India,655.10,2865313,1622794,4.80,12.76,0.08,931457,-3.55,11.57,12803.15,-333.10,-60.13,27.10,-256.72,2.43,11.39,4.58
33.,Saurashtra Cem.,62.55,1926623,508099,12.52,13.77,8.01,199529,-2.11,-34.95,694.61,-20.86,892.24,8.89,282.99,-19.82,8.35,2.50
34.,Praveg,271.10,1729931,403185,7.27,15.70,16.38,161774,-1.15,-43.86,709.74,-242.36,-168.76,-18.63,-149.65,-5.62,44.12,1.72
