S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
19,Sh. Rama Multi.,45.00,493269,214444,6.46,9.41,18.70,196585,10.27,-23.84,597.22,9.66,-53.25,28.91,70.76,-2.32,20.27,18.16
20,M R P L,184.46,50201898,14328082,6.65,5.27,13.19,14316624,18.47,47.19,32311.63,317.07,1067.35,59.73,708.34,3.55,23.40,18.03
21,India Nipp.Elec.,1313.30,1728108,382380,17.02,23.40,16.81,102098,52.53,41.24,2968.09,4.11,10.85,10.19,59.77,72.24,26.47,16.96
22,Sarda Energy,545.85,5545090,1539010,5.00,11.16,9.06,1744651,4.55,-6.60,19234.73,5.50,19.96,28.28,208.17,2.92,5.90,16.87
23,Novartis India,2186.40,861226,342619,20.00,36.52,36.02,90305,64.43,135.03,5394.40,16.62,-4.87,14.64,27.56,130.34,5.42,16.26
24,Ellen.Indl.Gas,355.05,3298410,1169276,9.99,13.33,20.07,847646,37.59,-35.79,4980.00,86.85,40.60,12.91,52.80,81.75,8.47,15.23
25,Max Healthcare,1037.50,5366598,2654084,4.48,4.38,-2.95,2490316,2.76,-10.01,101286.94,4.87,24.82,10.42,-5.63,4.80,15.96,14.71
26,Excelsoft Tech.,75.23,16092270,3510602,8.93,8.06,-3.15,1079176,-4.07,,861.78,57.24,11.35,-1.11,-44.40,-3.96,26.78,13.64
27,Aegis Logistics,1343.40,2377604,929943,5.94,8.18,0.73,905918,45.09,91.37,47149.62,268.90,88.67,-9.16,19.85,123.19,30.35,13.33
28,Rajratan Global,520.85,308888,135743,4.84,6.20,-1.20,88247,19.05,59.77,2641.48,69.82,39.51,1.29,48.80,41.67,27.74,13.23
29,BMW Industries,55.74,1169430,409541,4.97,12.95,11.64,255321,-10.40,17.77,1254.63,25.79,25.22,-20.76,-42.34,71.45,13.07,12.35
30,Huhtamaki India,267.85,1005788,331896,6.84,2.49,-5.92,201198,58.53,15.10,2024.87,76.83,87.18,22.33,70.82,65.94,4.68,11.98
31,HLE Glascoat,367.95,932770,485896,10.00,17.14,-22.46,390960,2.11,-34.76,2546.07,-81.23,-30.00,-23.22,-89.83,25.30,26.31,11.79
32,Orient Ceratech,47.30,408193,146856,5.11,8.04,10.59,136872,26.27,21.03,565.90,177.17,211.08,3.69,51.41,32.64,24.40,11.45
33,Confidence Petro,90.66,16741506,6777992,9.90,9.82,9.57,4829786,24.94,85.70,3007.00,207.04,47.35,98.12,81.88,148.11,72.45,9.23
34,Birla Cable,356.85,1453122,572860,4.99,4.46,33.69,296933,93.01,125.63,1074.50,2190.30,628.86,24.54,183.90,174.84,28.14,8.93
35,Jaykay Enter.,168.94,1639399,669171,5.67,-0.27,19.90,627263,7.65,23.92,2546.54,-78.19,85.18,21.93,-97.49,42.71,117.55,8.18
36,Sterlite Tech.,865.90,4870770,2218602,5.00,21.22,35.77,1815509,52.34,639.45,44405.35,1870.00,1489.53,32.55,233.90,363.20,36.18,7.65
37,Shish Industries,15.57,3300019,2018057,7.75,28.57,31.61,1427274,36.34,61.85,656.98,-160.39,-60.55,-6.97,-1753.85,6.13,8.28,6.74
38,Spice LoungeFood,29.89,1504333,1004886,4.99,27.57,15.54,603658,21.80,-36.39,2083.70,507.63,250.78,-14.63,-3.02,2.54,20.89,6.42
39,Westlife Food,561.50,565622,142066,4.32,2.55,-4.21,123405,28.04,-23.82,8785.19,-52.03,-186.56,12.25,-75.21,22.21,6.75,6.34
40,Adani Enterp.,3104.70,5662220,1938068,5.13,7.36,3.15,2099478,6.73,38.54,419248.28,-35.82,-36.42,1.49,-776.28,58.31,18.06,5.80
41,TCC Concept,51.50,34214706,8553872,4.95,10.37,-6.00,2293370,-28.00,-51.78,1224.35,30.25,42.81,52.95,-59.17,-34.85,205.31,5.65
42,One 97,1751.50,8568114,4043694,4.88,8.18,10.57,4297030,71.20,43.67,112444.95,57.59,262.55,8.13,20.22,79.42,22.55,4.96
43,Graphite India,844.65,38167074,8418185,15.04,16.25,16.84,2804715,35.27,62.46,16497.90,28.36,-38.97,3.19,262.86,35.89,21.31,4.58
44,Orchid Pharma,1024.85,174991,58876,6.11,9.25,-5.03,88729,21.15,44.01,6125.60,156.59,-72.05,-17.42,-87.54,100.13,14.09,1.73
45,Astec Lifescienc,761.00,5659409,1416445,14.82,32.91,22.61,353962,-1.36,-12.18,1696.50,43.34,49.62,-47.32,-141.42,21.73,9.33,-5.44
