S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Bondada Engineer,288.60,369400,142840,5.14,3.83,-0.67,136782,-8.12,-26.61,3222.84,38.24,90.09,-24.31,-14.23,2.89,80.96,39.43
2,C P C L,1604.40,8797426,2715350,10.06,13.47,29.38,2875495,40.72,121.85,23901.18,2671.95,2379.87,62.74,-27.46,74.73,33.51,34.94
3,Xtranet Techno.,293.37,5625003,7562544,10.00,51.47,105.13,3223334,,,1537.94,74.43,35.33,-68.65,-75.06,,32.31,32.81
4,Rajoo Engineers,55.90,495112,429820,4.10,14.86,8.54,231553,4.98,-41.57,991.23,3.40,1.76,55.00,635.17,-2.39,32.79,24.70
5,Q-Line Biotech,675.70,349200,193440,8.28,9.06,26.11,123873,33.97,,1576.29,147.29,25.23,,,,8.99,22.46
6,EPack PrefabTech,248.14,1739394,661514,6.04,10.26,-1.24,626414,9.18,,2494.40,13.35,52.62,-22.29,-40.01,59.02,37.53,21.71
7,Va Tech Wabag,2130.90,2573471,803549,6.10,7.20,7.96,744265,39.82,39.86,13308.71,36.93,30.17,-37.30,-29.61,73.58,20.45,21.33
8,Antelopus Selan,1169.40,14004591,10707463,6.39,22.95,47.63,3120326,36.03,108.30,4120.13,450.71,119.13,28.46,42.65,115.48,46.50,21.22
9,Anlon Healthcare,16.28,18215297,5993732,4.29,4.63,12.66,4168446,8.46,60.24,868.64,87.61,38.94,72.06,-25.20,39.98,42.96,20.77
10,Bhagyanagar Ind,411.65,501056,196665,5.00,8.22,8.14,166645,35.06,357.34,1386.31,167.50,216.31,-4.01,9.52,184.62,49.10,20.71
11,Datamatics Glob.,773.05,218492,116805,4.61,1.19,-10.37,86591,2.59,-16.14,4565.51,43.55,38.73,-1.03,61.27,9.97,13.17,20.36
12,Innovision,280.30,1462575,301795,11.23,8.33,-0.67,103495,-2.30,,668.42,-156.46,25.95,-1.38,-161.92,,9.81,20.28
13,Enviro Infra,206.06,13914797,3419412,5.03,7.12,-4.44,1434442,16.29,-13.74,3617.89,-12.52,-3.82,-15.94,-16.69,35.53,15.49,20.18
14,AGI Infra,283.20,8976468,2311990,4.25,0.87,-5.11,1352450,-23.23,20.43,3550.38,37.53,41.67,9.44,3.18,-7.42,3.93,20.11
15,Jindal Stain.,783.30,6549026,1904601,6.03,6.59,6.90,765240,15.30,1.85,64598.65,7.73,27.78,-0.52,-7.86,10.72,9.82,19.28
16,Wheels India,2400.60,7070053,2471020,13.97,55.45,70.05,647966,47.98,225.97,5864.55,28.21,39.52,-4.67,-33.79,167.12,17.47,18.83
17,Molbio Diagnosti,1257.90,10124346,2561048,12.56,13.55,,3917796,,,14463.04,347.79,10.05,-27.16,-44.95,,41.68,18.48
18,Share India Sec.,189.46,29563469,6097074,10.85,12.45,12.86,1637977,49.23,29.15,4157.06,47.48,17.62,7.74,114.35,46.24,14.62,18.41
