S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Sedemac Mechatro,3122.40,307359,191863,5.82,9.54,-3.64,161276,14.34,,13781.99,95.14,116.56,7.67,3.83,107.99,60.76,35.31
2,Saatvik Green,413.25,1308937,392479,6.08,-0.66,2.63,182662,-13.30,,5251.27,-95.36,-21.14,-68.21,-91.13,11.12,46.52,32.92
3,KMC Speciality,146.93,9728950,2546072,10.64,6.28,2.65,606166,25.10,118.29,2391.93,119.76,137.83,11.59,13.26,81.31,35.06,26.24
4,Pondy Oxides,452.90,1305371,680186,4.04,-3.01,-6.95,454934,-14.36,-12.99,3457.42,31.58,89.46,-0.08,-4.73,7.89,49.63,24.05
5,Bhagyanagar Ind,425.25,374240,418175,5.00,3.30,11.18,214394,12.66,348.67,1421.28,167.50,216.31,-4.01,9.52,191.61,49.10,20.71
6,Network People,1834.60,3175774,813384,11.90,9.17,13.05,201468,14.38,-11.49,3832.76,53.69,25.13,-8.87,-9.72,65.89,47.17,19.67
7,CMS Info Systems,232.39,5816828,2217176,4.25,0.49,-8.63,1301253,-21.01,-44.44,3724.89,-10.58,-20.04,0.28,5.84,-18.16,1.71,17.92
8,Motisons Jewel,16.62,95943216,33209218,7.43,2.28,0.48,50852576,17.37,-11.69,1891.76,37.61,49.19,-21.92,33.13,27.36,10.73,17.86
9,RACL Geartech,1852.40,268854,428257,5.54,13.37,37.89,129701,39.01,97.80,2186.49,5.79,70.89,-1.64,-24.33,48.17,22.69,16.55
10,Indiabulls,28.79,65191162,36036696,4.92,14.93,3.45,17999104,14.02,61.20,6778.65,35647.50,371.40,-12.01,-27.41,189.64,165.66,16.17
11,eMudhra,642.30,32238154,8577748,8.34,25.57,23.82,1773813,38.55,-6.88,5312.27,29.22,25.52,-1.39,8.22,62.42,29.74,15.69
12,Ellen.Indl.Gas,374.65,2639425,2269238,5.51,5.52,14.12,962653,32.41,-31.21,5274.95,86.85,40.60,12.91,52.80,89.23,8.47,14.47
13,Parag Milk Foods,269.10,3242816,3983958,6.72,6.11,29.82,2098158,16.54,-8.17,3382.83,-20.05,13.13,-0.08,-31.61,35.28,10.91,13.52
14,Aegis Logistics,1381.20,2117261,1334546,4.36,2.81,7.30,1026739,37.17,72.55,48476.46,268.90,88.67,-9.16,19.85,125.80,30.35,13.33
15,Patanjali Foods,365.00,30168946,9057540,7.81,7.04,3.14,3428286,-13.96,-39.20,39733.57,86.19,77.99,1.63,-35.91,-23.09,20.24,12.07
16,HLE Glascoat,416.85,1230304,1122870,5.42,13.29,32.50,432823,10.16,-18.66,2882.83,-81.23,-30.00,-23.22,-89.83,45.60,26.31,12.07
17,Rossell Techsys,1349.90,3643541,1252258,6.68,13.09,21.73,441549,29.51,85.39,5093.27,116.36,73.64,8.72,-5.05,87.46,82.91,11.50
18,IOL Chemicals,194.57,9106833,6017723,8.38,-7.03,20.64,5773457,51.65,69.00,5713.40,89.87,67.75,22.09,21.25,161.66,18.56,11.29
19,PB Fintech.,1827.10,2368056,1046900,5.25,1.51,5.73,1268485,12.94,0.28,84199.47,92.54,98.75,-8.40,-37.62,22.04,38.00,10.32
20,Samhi Hotels,160.27,4802286,5398532,4.94,5.14,0.54,1842950,-6.60,-24.49,3560.96,-7.90,243.36,-11.50,-93.76,11.05,11.84,8.90
21,Morepen Labs.,114.73,42145167,22394508,8.01,-1.55,27.73,25118052,124.83,115.13,6284.89,424.65,26.79,17.62,258.92,210.16,9.49,8.05
22,Viceroy Hotels,126.85,156828,59968,5.00,6.42,9.48,84564,-1.55,17.66,959.76,148.01,-69.16,-7.17,-75.83,-5.75,24.45,7.12
23,CSB Bank,328.75,8859527,2516053,10.93,5.67,2.75,976366,-10.54,-9.24,5712.02,26.51,10.94,7.20,-25.57,-9.01,24.84,7.05
24,Kopran,260.86,14807367,8022284,4.39,11.30,30.62,2023283,41.17,46.77,1260.84,-10.07,-28.42,-34.20,-64.49,120.66,11.96,6.65
25,Godavari Bioref.,236.94,9653881,2478956,4.55,-0.64,-3.53,560771,-19.39,-19.69,1210.05,-20.60,317.63,-1.10,-136.54,-25.23,7.00,6.55
26,Spice LoungeFood,36.30,1415087,1134490,4.97,21.45,41.69,749073,49.14,-14.59,2530.56,507.63,250.78,-14.63,-3.02,30.58,20.89,6.42
27,Shivalik Rasayan,389.15,312594,237462,9.96,1.10,52.85,111786,77.21,-19.43,612.84,112.50,-8.86,-6.30,-37.33,66.52,14.88,4.63
28,Max Financial,1487.60,946399,530588,4.33,1.30,-5.35,572781,-11.88,-4.89,51294.31,36.38,-60.13,38.58,475.29,-9.25,4.91,2.87
