S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
35,Excelsoft Tech.,80.08,10058635,5470192,6.45,13.33,5.63,1510704,0.77,,924.05,57.24,11.35,-1.11,-44.40,2.23,26.78,13.64
36,Parag Milk Foods,264.85,7580435,2216442,4.44,4.19,20.79,1694925,13.43,0.15,3328.74,-20.05,13.13,-0.08,-31.61,35.72,10.91,13.52
37,Subex,19.76,16721929,16043832,5.11,11.70,41.45,10769534,88.01,53.54,1112.65,11.01,448.98,8.90,43.20,139.81,2.91,12.76
38,Stallion India,234.26,1053426,464505,4.86,12.84,-2.92,525091,27.63,44.60,2720.65,79.25,51.93,10.42,69.90,114.19,6.49,11.76
39,IKIO Tech,231.73,2548522,1370393,5.36,11.24,13.79,804400,48.83,11.14,1793.19,408.96,125.18,2.38,-36.97,83.29,34.54,9.49
40,Birla Cable,374.65,1010158,736649,4.99,4.46,33.68,329332,92.99,134.74,1128.06,2190.30,628.86,24.54,183.90,188.55,28.14,8.93
41,Samhi Hotels,160.20,15052021,4012269,5.10,4.99,-2.80,1583979,-2.01,-26.13,3559.40,-7.90,243.36,-11.50,-93.76,7.94,11.84,8.90
42,Genesys Intl.,299.67,9403220,4689320,9.25,34.60,39.74,2796087,38.29,-26.43,2011.50,-25.14,-39.96,-21.93,-58.49,58.13,3.73,8.23
43,Electronics Mart,191.82,7362880,3864139,5.02,8.89,3.83,4001012,81.82,29.35,7384.30,351.33,77.81,26.43,203.65,108.18,20.15,8.17
44,Juniper Hotels,227.39,1090000,292580,6.55,4.46,17.07,386579,16.46,-23.01,5050.25,88.55,139.96,-17.23,-33.98,14.84,11.51,8.04
45,Gayatri Projects,24.80,2415811,2100713,4.91,11.81,27.18,985582,13.45,173.73,1156.84,10265.52,-24.01,19.56,133.44,95.28,145.41,6.98
46,Sreeleathers,370.30,509625,280430,7.33,43.00,60.51,85310,87.27,58.76,858.08,138.57,57.18,-4.88,-27.71,92.60,16.69,6.97
47,Shish Industries,16.46,3191944,2318806,5.72,29.81,33.17,1508944,44.13,74.18,694.53,-160.39,-60.55,-6.97,-1753.85,12.20,8.28,6.74
48,Neogen Chemicals,2388.90,434543,214039,5.93,11.78,14.15,219586,17.47,50.49,6568.45,66.76,-12.07,1.51,50.22,77.80,18.00,6.46
49,Spice LoungeFood,31.38,1076579,1075102,4.98,27.56,23.59,649567,27.10,-31.87,2187.57,507.63,250.78,-14.63,-3.02,7.65,20.89,6.42
50,TCC Concept,53.62,58607253,20239332,4.12,14.99,0.51,4956027,-24.88,-50.89,1268.07,30.25,42.81,52.95,-59.17,-32.17,205.31,5.65
51,Sunflag Iron,345.40,313821,155373,4.24,-0.32,-6.40,168361,-2.00,30.54,6223.84,5.49,7.96,7.82,92.68,63.06,9.03,4.07
52,BF Utilities,544.45,505850,193138,4.33,0.08,-3.05,313157,-12.45,-32.05,2043.55,-178.35,-270.00,252.10,-38.19,28.86,0.42,3.88
53,Mercury EV-Tech,41.61,4316557,2172786,9.99,13.47,19.88,682242,35.23,-16.70,796.59,29.92,-47.59,65.17,450.00,30.19,4.21,2.64
54,Tata Inv.Corpn.,645.15,8517763,1811778,4.26,1.13,-6.33,580510,-3.12,-4.57,32667.95,-1.91,31.64,279.34,124.83,3.77,30.99,1.57
55,Indoco Remedies,254.25,6277004,1552579,9.98,-6.72,17.42,1398760,2.19,-8.16,2346.61,45.56,33.39,-1.71,376.35,29.53,11.96,0.96
56,Kabra Extrusion,707.55,808657,516596,6.73,25.27,39.09,367709,198.22,146.75,2465.02,77.14,-95.56,3.61,-125.22,214.54,3.14,0.06
57,Ather Energy,1658.30,8870708,4721527,4.96,1.18,8.71,5263987,61.20,206.21,65644.16,71.46,52.35,3.60,49.25,135.22,67.15,-19.77
