S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Emmvee Photovol.,342.65,5550662,2353061,4.18,4.98,7.62,1887568,-0.26,,23701.59,102.64,140.80,-10.54,-3.08,71.10,84.07,44.83
2,Merritronix,365.25,374000,178600,12.64,15.71,8.17,151318,1.11,,638.64,,85.91,,,,37.28,41.14
3,Force Motors,18175.00,243126,88369,4.72,3.86,-0.85,87282,1.58,-1.02,23915.26,22.82,82.00,-4.31,-22.24,-10.22,8.44,36.05
4,Inox India,2295.80,908893,502576,5.05,5.50,18.46,479108,26.97,94.20,20844.16,-4.99,12.26,-19.51,-22.82,102.01,19.94,33.48
5,Anawil Wire,465.05,565600,364480,11.99,21.58,27.97,367782,,,1162.62,,197.89,,,,82.57,32.28
6,Neetu Yoshi,206.65,147200,144000,4.55,16.42,26.97,92255,44.81,66.59,802.06,58.96,52.47,22.76,16.72,143.49,39.33,31.78
7,Acutaas Chemical,3451.40,1038953,368098,6.47,7.82,6.33,324182,9.73,136.67,28330.85,67.67,104.30,-23.82,-44.15,65.63,40.90,31.56
8,Raghav Product.,1743.50,229103,195118,4.35,-7.52,33.92,152713,46.63,159.08,8004.82,67.55,55.29,23.17,29.09,168.44,33.90,30.30
9,ESDS Software,1582.20,17073839,9933055,9.96,,,9933055,,,18811.17,,115.30,,,,30.68,30.19
10,Shakti Pumps,503.20,14829360,3295601,7.57,6.57,-1.45,1013934,-6.32,-38.11,6204.08,-46.72,-48.53,0.10,34.59,0.46,14.10,23.64
11,Sri Lotus,207.88,14456898,3875771,5.00,12.59,23.94,1583648,55.09,11.89,10202.87,77.51,20.65,-56.96,-54.70,74.02,71.31,21.15
12,Anlon Healthcare,17.54,33404635,11600146,7.74,12.44,21.72,5618011,16.47,64.54,931.71,87.61,38.94,72.06,-25.20,50.82,42.96,20.77
13,Bhagyanagar Ind,432.20,515164,281876,4.99,15.73,11.88,183747,39.15,378.15,1455.67,167.50,216.31,-4.01,9.52,198.83,49.10,20.71
14,Grauer & Weil,76.48,1174801,438043,5.24,7.96,13.02,405264,5.33,-19.57,3458.17,-8.71,6.76,-15.95,-19.59,26.14,10.06,20.59
15,Pearl Global Ind,2378.40,300844,128277,4.41,2.12,-2.32,110956,45.83,69.92,10980.65,50.93,24.25,16.34,22.55,62.69,13.75,19.93
16,Advance Agrolife,119.03,471808,176595,4.55,0.42,-2.60,196321,20.87,,762.84,152.24,78.66,166.71,202.28,21.19,48.33,19.62
17,Varroc Engineer,884.40,1516880,483513,5.36,5.39,5.02,397351,55.06,45.14,13520.48,27.94,51.42,11.24,10.28,83.96,14.66,18.98
18,Molbio Diagnosti,1509.40,12371768,4932767,19.99,32.96,,4362742,,,17391.56,347.79,10.05,-27.16,-44.95,,41.68,18.48
19,NRB Bearings,515.95,1489453,699884,6.48,14.39,13.33,448715,21.16,81.45,5006.92,9.09,10.71,-0.66,-10.29,103.21,14.37,18.41
20,Mangalam World.,39.56,19433850,4158131,4.77,1.23,-5.65,1204829,4.21,86.34,1162.65,17.69,63.43,19.35,-21.80,46.57,12.75,17.70
21,Omnitech Engg.,563.35,1349353,717912,5.38,8.49,-5.83,704891,19.82,,6970.64,470.63,80.98,12.06,1.33,157.78,49.11,17.56
22,Eveready Inds.,366.20,789567,313306,4.81,14.63,2.48,131097,5.96,-18.03,2664.47,2.52,78.17,24.59,-73.92,19.79,8.74,17.23
23,India Nipp.Elec.,1369.00,3028166,981563,4.24,23.40,20.93,238890,53.78,50.88,3093.69,4.11,10.85,10.19,59.77,79.54,26.47,16.96
24,KEC International,413.45,2557312,1430535,5.15,1.80,-8.28,1171473,-18.04,-52.49,11015.84,-41.72,-1.20,-21.38,-62.33,-24.70,5.14,16.53
25,Kross Ltd,231.54,9330279,2151808,5.40,9.56,14.53,839106,26.88,3.42,1494.13,24.39,13.22,-18.23,-40.71,27.82,17.09,16.44
26,Novartis India,2428.20,2375206,814183,11.06,50.44,52.36,197882,86.56,163.71,5991.04,16.62,-4.87,14.64,27.56,155.82,5.42,16.26
27,Man Industries,876.45,9469614,2415953,10.59,10.47,56.76,1854898,60.54,112.76,6565.51,122.41,26.31,-9.00,20.81,121.49,10.75,16.21
28,Powerica Ltd,575.85,732052,334010,5.25,12.26,8.99,199305,25.53,,7281.50,28.14,70.78,-2.63,42.83,,13.50,15.69
29,Vardhman Special,392.00,8588109,1794515,8.06,7.71,17.82,556650,41.95,46.54,3793.83,106.98,64.91,6.13,21.22,69.18,1.31,15.28
30,Heritage Foods,398.05,2136609,1038440,4.72,7.13,9.78,702473,24.39,-17.74,3696.67,-38.42,-28.12,15.60,4.30,29.93,11.53,14.80
31,Ganesh Benzopl.,133.35,349106,390686,4.03,10.04,14.23,216714,23.15,38.73,952.10,-6.54,-21.88,5.41,14.98,68.07,13.31,14.60
32,Suraj Estate,177.00,375388,294757,4.17,-0.45,-15.22,185186,-6.66,-40.33,835.32,7.28,0.49,46.50,112.36,-13.64,3.69,14.54
33,Ellen.Indl.Gas,373.50,3316399,1730461,5.20,13.03,26.87,972157,35.40,-32.24,5238.86,86.85,40.60,12.91,52.80,91.20,8.47,14.47
34,M.V.K. Agro,287.20,990600,273360,4.99,27.59,7.61,272645,-36.21,-25.30,1450.47,84.93,399.79,-51.06,-79.15,-43.02,113.64,14.37
