S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1.,Atlanta Electric,1830.40,320923,172907,4.89,0.60,18.93,177073,-6.25,,14051.00,50.42,74.72,-37.62,-54.16,111.17,59.03,45.26
2.,Modison,454.05,429459,167011,9.99,14.43,69.17,191872,44.74,191.56,1479.31,506.77,294.95,-5.86,-6.00,251.98,66.70,30.98
3.,SKM Egg Prod.,267.90,827130,471491,4.02,4.32,7.22,487651,15.09,44.19,1411.04,46.50,186.91,-1.28,-27.36,65.62,39.75,30.00
4.,Gaudium IVF,127.80,379561,138140,5.00,12.47,-7.05,130011,13.71,,938.85,-42.02,28.02,-36.14,-78.71,58.21,47.57,29.28
5.,Gabriel India,1437.90,924074,489265,5.14,5.81,-0.27,403094,33.50,24.77,25491.36,1.99,23.10,3.25,-9.16,54.99,18.71,25.61
6.,Vimta Labs,643.45,2519828,590290,4.17,4.48,5.68,304664,36.99,-3.42,2875.84,11.38,12.61,-0.16,-0.33,49.50,14.22,25.23
7.,Alivus Life,1405.70,1284921,294251,4.11,2.90,21.18,229517,34.18,48.78,17244.57,31.71,25.42,-7.07,-1.59,54.32,7.93,23.79
8.,Q-Line Biotech,595.55,423200,146800,8.49,7.56,10.02,86210,27.12,,1389.31,147.29,25.23,,,,8.99,22.46
9.,K P R Mill Ltd,1177.60,942281,401149,4.19,5.87,12.17,327732,17.87,19.38,40259.14,21.55,10.65,8.45,13.81,37.95,4.20,19.58
10.,C.E. Info System,1013.40,743328,438484,4.92,5.38,-14.24,309848,22.75,-38.33,5549.20,7.94,-12.47,-3.67,-2.34,0.47,1.83,19.13
11.,Indegene,611.65,4353661,1530482,5.65,7.94,18.73,1073007,17.98,12.79,14743.79,-0.17,-4.39,5.95,45.80,29.70,30.41,18.82
12.,Vintage Coffee,185.77,11906012,6172738,4.38,16.85,24.28,3362020,26.28,27.04,2708.28,46.10,57.99,-2.61,-1.05,35.68,67.12,18.18
13.,Happy Forgings,2412.00,248376,115055,4.55,10.09,45.94,163138,71.19,167.57,22779.95,39.23,21.60,6.04,9.45,92.87,15.53,18.03
14.,EPL Ltd,262.06,6485258,2337181,4.02,-0.54,17.82,2816477,24.54,16.54,8392.15,-1.40,3.17,6.72,-2.61,27.92,16.91,17.80
15.,Indian Hotels Co,737.90,5318036,2351078,4.46,1.23,-0.09,1750951,11.52,-2.71,105183.96,20.76,13.24,-15.41,-39.45,16.43,13.17,17.06
16.,Bliss GVS Pharma,616.75,779957,359870,4.87,9.18,32.45,456756,41.96,296.11,6566.25,16.40,29.05,11.12,38.84,186.05,20.59,16.93
17.,Diffusion Eng,485.50,8099527,1672369,18.13,20.88,26.55,639628,50.71,34.21,1821.26,36.26,35.46,-22.22,4.45,97.44,26.44,15.78
18.,Kapston Services,586.80,214986,114661,4.94,14.56,23.56,107438,74.31,263.46,1785.76,39.18,47.55,0.88,12.90,123.69,18.59,14.95
