S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1.,HBL Engineering,695.75,15409432,3649395,4.54,3.21,-5.53,1630981,-12.48,-18.26,19278.60,-25.07,133.59,5.61,71.25,2.78,62.97,58.45
2.,Technocrats Plasma,361.00,973000,268600,17.57,42.86,,544091,,,631.75,,266.97,,,,714.52,50.39
3.,Kernex Microsys.,1817.00,893901,412884,6.28,0.94,-28.72,592836,-1.04,65.59,3047.43,1372.52,252.66,97.81,60.93,75.22,304.50,47.83
4.,Lohia Corp,581.50,1756593,707235,5.07,2.90,13.15,914368,,,6141.88,295.78,70.76,-1.52,-7.28,,24.70,43.77
5.,Merritronix,340.45,235000,166000,7.86,8.20,-7.22,144773,,,595.27,,85.91,,,,37.28,41.14
6.,Xtranet Techno.,234.24,6061463,3097640,20.00,18.84,82.99,1863340,,,1227.89,74.43,35.33,-68.65,-75.06,,32.31,32.81
7.,APL Apollo Tubes,2250.00,1278310,1046045,4.20,-0.69,15.47,715895,23.45,34.50,62717.11,10.94,53.43,-10.57,-25.75,4.52,10.44,31.75
8.,SML Mahindra,6298.50,457046,235307,10.00,21.44,6.44,141448,66.41,65.56,9097.25,-4.99,9.96,6.67,17.38,49.97,18.07,30.90
9.,Menon Bearings,321.40,228122,136257,4.16,12.92,38.02,151300,131.71,158.55,1795.30,67.38,61.45,5.29,2.39,173.56,27.97,25.50
10.,Marsons,137.56,13094596,5662779,9.58,3.30,27.49,3568719,6.70,-27.81,2353.90,-26.15,43.23,-46.61,-73.74,2.24,33.29,25.39
11.,Radhika Jeweltec,83.16,15306599,4629860,16.60,20.94,18.29,2238843,47.11,-11.67,980.33,25.48,26.78,-21.11,203.45,36.75,16.75,25.07
12.,Rajoo Engineers,51.59,460915,319827,4.99,4.71,0.98,183553,-4.85,-48.20,924.99,3.40,1.76,55.00,635.17,-15.92,32.79,24.70
13.,Master Trust,89.16,8763032,1913723,10.03,7.84,8.85,747486,8.85,-42.92,1105.68,27.81,8.03,-17.06,-3.91,6.96,6.98,23.85
14.,Skipper,591.10,10708152,2667556,8.08,8.21,7.77,1353987,6.20,7.52,6677.55,26.44,42.72,-21.41,-25.31,70.79,17.18,23.52
15.,Tembo Global,58.47,7416209,3049510,4.52,0.46,-11.27,2344142,-2.08,-8.08,1084.34,57.99,58.53,-12.61,3.79,9.76,34.06,22.84
16.,RBZ Jewellers Lt,200.69,7293326,7204533,4.70,37.27,34.01,1770820,51.24,43.45,798.72,27.67,54.03,-36.25,-22.17,67.19,30.27,21.98
17.,ABS Marine,337.90,343500,148500,10.01,19.40,52.34,85523,31.50,84.54,829.54,154.86,195.64,34.59,57.87,97.49,77.44,20.98
18.,Wheels India,1724.90,362021,208209,4.26,11.45,20.66,127928,15.94,133.96,4207.33,28.21,39.52,-4.67,-33.79,95.96,17.47,18.83
19.,Indraprastha Gas,158.04,9132330,3534264,5.77,7.07,2.57,2776400,-3.82,-27.24,22121.18,-43.97,-18.29,10.19,-29.77,0.49,9.94,17.90
20.,Motisons Jewel,16.48,127720013,42806279,7.22,-0.96,18.73,71085722,40.73,-14.30,1870.96,37.61,49.19,-21.92,33.13,14.37,10.73,17.86
21.,Affle 3i,1616.50,3429888,1201373,6.40,-0.23,-2.77,422361,9.51,-15.21,22763.07,21.74,19.21,3.14,7.47,19.69,19.78,16.84
22.,Deep Industries,786.45,1387829,839491,5.59,16.61,22.20,546532,47.75,43.23,5029.90,45.12,132.59,12.15,1334.63,132.88,48.75,16.47
23.,Iris Clothings,63.58,2431238,1108994,6.00,8.31,18.89,1557463,72.96,96.66,1210.13,52.47,31.91,-21.89,-37.64,104.37,31.84,16.04
24.,Manoj Vaibhav,179.90,1216476,566481,4.61,16.18,6.38,187129,18.36,-9.11,891.05,20.25,21.18,-5.38,-2.10,17.27,21.52,15.63
25.,MTAR Technologie,7161.00,233977,118003,5.00,2.34,8.04,129792,-4.97,406.40,22062.69,349.69,126.78,17.87,13.89,89.33,53.38,15.20
26.,Innova Captab,1175.40,337504,192139,4.44,11.40,24.38,127055,35.49,27.93,6733.39,42.26,18.68,5.15,15.89,72.88,34.47,14.96
27.,Angel One,299.80,31940805,12221558,4.83,1.97,0.20,6727766,-9.86,32.83,27407.60,102.15,3.84,-2.04,-27.74,36.55,9.09,14.77
28.,Artemis Medicare,332.80,960718,402145,4.05,4.24,3.31,413509,24.09,46.54,5269.26,44.96,31.21,3.00,5.08,43.01,15.49,14.53
29.,ION Exchange,409.20,1417308,517965,7.06,10.16,-1.56,435630,16.70,-1.98,5994.54,-91.56,-47.98,-18.86,-87.40,17.93,10.15,14.17
30.,Rane (Madras),1295.90,2266963,465335,14.95,15.02,16.27,136261,43.76,52.56,3581.18,56.04,188.49,-0.60,-18.56,55.34,16.01,13.95
31.,GMM Pfaudler,1147.90,1087093,418277,6.93,11.80,33.93,541632,45.67,-1.07,5164.01,114.35,48.91,-1.99,44.07,31.43,13.91,13.64
32.,SMS Pharma.,392.50,498545,260254,4.90,10.39,7.67,192048,6.34,68.33,3674.86,2.05,39.99,-13.02,-36.07,4.46,10.25,13.30
33.,Paisalo Digital,74.10,33544299,17626597,5.44,9.68,7.17,10511953,28.05,115.59,6729.98,29.98,22.74,-0.24,-15.12,121.59,22.66,12.38
34.,Mukka Proteins,31.34,7647257,3151830,9.12,25.06,36.38,1362751,39.85,12.25,942.17,1142.76,59.13,28.65,-12.73,41.94,76.01,11.61
35.,Prime Focus,307.00,2059323,935216,5.26,4.28,2.44,1023128,27.82,113.22,23879.70,-90.56,18.87,-8.50,-138.90,11.37,29.17,11.50
36.,Puravankara,230.72,17849012,3643101,9.30,6.92,9.78,2134700,9.64,-20.32,5479.04,142.75,160.86,-43.49,-77.05,23.17,116.21,11.24
37.,Balaji Amines,2525.20,634259,333379,4.44,5.63,26.35,244386,23.58,67.90,8182.74,97.21,34.10,15.49,20.61,141.78,11.08,11.02
38.,Bhageria Indust.,304.65,228929,312557,5.00,27.60,44.58,116799,45.70,51.68,1336.53,199.75,54.14,6.47,154.89,100.03,55.21,11.01
39.,One Point One,57.01,2765466,922813,4.38,3.60,-0.31,1284782,-2.68,29.27,1502.85,72.78,31.61,64.57,58.81,20.84,52.41,10.88
40.,Welspun Special.,59.55,4852836,1866956,6.30,11.75,17.50,1391147,15.56,93.72,3931.12,788.00,500.28,-11.87,21.13,62.75,15.15,9.90
41.,ACME Solar Hold.,418.00,6488082,3059375,4.01,6.17,9.35,2210670,17.20,41.84,29606.28,64.83,45.44,56.52,70.15,83.01,47.52,8.89
42.,RIR Power Electr,169.86,4021204,1057903,7.79,6.28,6.43,521157,-0.20,-33.56,1352.30,-42.80,-6.55,18.15,215.91,-1.59,5.41,7.93
43.,Wockhardt,2088.70,3985878,1584251,7.08,5.64,4.12,926259,8.74,41.52,33931.91,973.63,983.41,-3.73,-34.76,60.72,18.37,7.55
44.,Nuvoco Vistas,352.15,2484933,981404,4.16,8.40,1.75,435613,10.34,-25.17,12582.84,19.98,172.73,-5.38,13.37,18.19,9.45,6.99
45.,Sanathan Textile,456.20,348880,116423,5.35,1.82,-4.31,80451,14.67,-10.64,3870.63,-41.08,-59.72,14.16,10.43,12.85,48.53,6.89
46.,SPML Infra,181.41,426500,245031,4.67,0.85,-7.72,224286,-7.91,-36.45,1534.81,87.13,80.86,-2.14,-16.56,5.01,37.89,6.76
47.,Spice LoungeFood,25.83,1002426,908672,5.00,9.87,3.90,460186,4.49,-48.24,1800.67,507.63,250.78,-14.63,-3.02,-14.16,20.89,6.42
48.,Jain Irrigation,30.87,30446570,7226663,9.62,7.56,-1.22,4421155,-3.20,-43.99,2246.50,-207.18,-177.36,-17.30,6.51,-11.06,8.81,5.30
49.,IFCI,101.38,433756864,228679742,5.70,12.69,34.03,81569852,27.36,94.36,27312.11,-17.40,-44.13,-30.48,76.95,85.71,4.81,4.90
50.,New India Assura,229.91,70920936,26693675,17.70,23.38,25.11,7178935,51.75,14.66,37856.22,-160.61,-35.77,-5.14,-141.24,65.86,11.34,4.29
