S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Thangamayil Jew.,6806.00,641966,335012,6.79,14.47,23.93,231719,66.55,257.87,21144.14,354.33,197.73,18.01,36.15,87.99,73.08,25.49
2.,Kalyan Jewellers,374.15,59746874,19513968,5.47,-1.81,5.63,10629333,-16.13,-34.79,38623.64,118.27,92.15,-0.66,-1.63,-26.19,42.71,20.52
3.,M B Agro Prod.,118.05,1675916,1308599,4.61,-0.51,8.07,467962,9.29,46.45,5172.18,319.37,161.32,-35.55,88.16,47.40,76.53,19.40
4.,Share India Sec.,177.72,76074176,26369491,7.77,28.44,35.05,6563731,25.48,1.50,3897.47,208.26,-0.41,11.81,-34.65,13.76,1.48,18.41
5.,Jindal Drilling,601.05,21533888,4366900,11.26,9.25,-1.82,1207721,12.86,-0.57,1736.22,-32.23,0.49,8.81,235.91,10.65,20.37,15.40
6.,Aether Industri.,1413.40,962861,550698,6.27,6.52,24.36,495718,24.66,80.65,18792.98,4.78,35.26,-4.29,-16.24,44.25,38.33,11.92
7.,Balaji Amines,2196.70,2010578,631239,6.23,5.10,5.06,365797,106.06,15.48,7121.32,57.79,6.09,19.16,110.63,88.67,2.18,11.02
8.,SG Mart,669.00,8740999,1943125,11.51,9.93,15.97,587953,25.94,92.41,8427.54,25.14,7.38,10.85,286.13,88.13,7.84,10.24
9.,Amagi Media Labs,573.30,1553594,526500,7.36,6.13,40.15,814083,68.89,,12412.01,423.21,204.31,-1.69,10.73,,29.50,8.00
10.,Ind-Swift Labs.,225.47,5189897,1959422,4.80,12.33,43.85,1681420,57.42,90.79,1958.90,9.35,2695.48,12.56,58.39,149.50,14.17,4.70
11.,Unichem Labs.,572.70,3719473,862296,20.00,20.68,60.47,1934478,72.32,-4.40,4039.33,-65.85,-40.09,10.35,-95.87,37.22,4.31,4.13
12.,Aequs,256.14,53217530,20961744,5.66,7.69,36.97,12466057,104.94,,17155.79,-739.04,-74.22,12.55,-25.87,81.56,33.08,1.55
13.,Ather Energy,1200.00,9328703,3988351,5.21,6.16,19.73,4344834,46.30,263.91,46008.81,57.23,36.95,23.18,-18.42,89.48,62.83,-19.77
