S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %
62.,Electronics Mart,180.61,1274442,1073006,1.84,-1.56,38.76,14581894,59.07,44.33,6948.95,351.33,77.81,26.43,203.65,94.08
63.,Cupid,280.46,12390746,15214862,-0.66,-2.08,21.61,33999094,118.51,713.87,37689.66,194.01,188.13,18.90,21.79,269.85
64.,Valiant Laborato,96.34,259051,445856,-3.32,-4.16,58.61,239661,25.51,10.62,518.92,1059.34,12207.69,25.34,1098.86,83.57
65.,Ugar Sugar Works,55.59,1320655,965508,2.70,-4.17,36.62,1163731,38.35,34.24,622.17,110.85,258.90,22.69,-96.74,44.88
66.,Prabha Energy,204.61,131435,111376,-1.52,-4.39,38.33,699782,29.64,-15.57,2805.55,226.09,177.46,17.36,190.00,27.31
67.,Sapphire Foods,234.41,2513184,2049094,1.26,-5.97,26.63,3869809,34.63,-28.33,7504.36,880.00,-85.80,12.46,211.01,22.57
68.,Uttam Sug.Mills,312.07,571243,486937,4.18,-6.58,40.36,619321,34.71,15.86,1190.58,-91.55,-9.38,28.99,-97.62,53.43
69.,Kwality Wall's,45.38,19428064,26300510,-0.37,-6.68,46.81,43634113,53.31,,10664.79,7.95,,80.79,147.34,67.39
70.,Zee Media,8.65,5880993,3688628,-3.14,-7.19,15.33,7519332,5.62,-29.96,566.31,-37.57,103.16,20.96,54.32,9.08
71.,Restaurant Brand,98.10,4033450,4249808,-2.84,-7.84,47.21,23933843,42.71,22.76,6993.10,32.40,17.88,16.38,30.40,55.81
72.,Finkurve Fin.,72.23,249845,172390,-4.41,-9.29,15.14,263405,20.00,-31.47,1007.46,65.82,62.23,11.54,4.98,3.57
