S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Deepa Jewellers,213.12,20360458,5987835,9.75,13.18,,9630252,,,2042.60,,158.23,,,,37.91,51.56
2,Merritronix,437.75,427000,160000,16.07,9.63,33.58,160048,-3.94,,765.40,,85.91,,,,37.28,41.14
3,Oriana Power Ltd,330.75,1268250,739950,8.91,21.71,25.00,219643,3.65,-33.69,3360.28,19.02,59.15,32.17,7.22,3.18,83.72,39.61
4,Shanti Gold,325.68,38269176,11776567,14.83,29.61,22.40,4469532,46.84,51.98,2497.66,104.87,206.97,8.72,-2.79,99.20,110.66,33.90
5,Steelcast,376.50,1112085,637525,5.23,17.69,9.56,231465,26.36,73.75,3818.19,19.27,14.58,11.02,2.29,65.10,9.25,32.30
6,Engineers India,315.65,20940451,14722179,6.40,18.51,26.08,8889066,25.35,58.74,17731.90,141.50,41.65,-11.49,-19.22,66.37,16.30,30.40
7,Ajax Engineering,607.75,732449,443738,5.66,8.58,4.51,160363,13.97,-6.25,6946.10,5.14,-6.43,-37.36,-41.45,42.65,1.89,23.87
8,Rolex Rings,195.35,7446725,3585964,7.68,13.52,5.91,1867697,31.93,44.86,5126.38,22.34,4.92,-0.44,40193.33,69.38,1.82,21.08
9,Anlon Healthcare,31.51,89214414,97391009,9.98,37.60,108.54,55102781,93.43,135.50,1668.98,87.61,38.94,72.06,-25.20,171.87,42.96,20.77
10,Vidya Wires,90.54,2051432,1171739,5.00,4.22,4.16,1104701,-7.28,,1922.82,41.42,43.54,-8.19,-12.60,73.02,31.66,20.59
11,Pearl Global Ind,1329.10,496234,394887,4.36,15.97,16.10,206929,28.35,104.27,12265.36,50.93,24.25,16.34,22.55,90.95,13.75,19.93
12,Antelopus Selan,1261.70,8311116,2257361,11.56,14.20,59.30,4439240,56.13,128.09,4454.83,450.71,119.13,28.46,42.65,138.01,46.50,19.92
13,Transport Corp.,883.70,6087434,1257712,6.03,6.50,-2.15,317141,-4.84,-26.38,6788.75,-0.75,6.68,-5.69,-14.38,-6.20,9.59,19.45
14,Fineotex Chem,60.48,49766914,24238264,7.87,6.07,19.57,26349286,47.87,146.56,7036.63,54.78,17.35,20.05,10.07,199.85,91.44,18.30
15,SBC Exports,53.02,25812202,12917430,10.44,7.68,32.12,10704918,27.48,143.10,2520.56,269.80,139.59,1.23,105.90,71.20,46.75,16.67
16,Lloyds Engineeri,98.56,63052613,22475427,8.41,19.57,11.35,9122178,16.08,62.00,15290.40,111.96,69.76,6.49,46.76,152.46,53.85,16.10
17,Surya Roshni,227.45,968882,482099,4.57,7.99,3.57,439577,-13.04,-20.35,4946.72,77.22,8.34,-5.40,-39.37,15.59,11.69,15.60
18,Artemis Medicare,357.70,20232089,4254426,7.51,5.67,10.57,1365455,37.00,48.61,5660.91,44.96,31.21,3.00,5.08,65.66,15.49,14.53
19,Gujarat Kidney,178.02,1889511,1059218,4.20,-1.78,16.86,798885,37.75,,1403.57,7.02,36.70,12.13,10.37,74.27,118.53,14.48
20,M.V.K. Agro,230.90,1148700,376680,4.98,-5.49,37.40,351100,-40.67,-51.64,1166.13,84.93,399.79,-51.06,-79.15,-57.98,113.64,14.37
21,Blue Cloud Soft.,22.16,74633998,16454572,10.47,14.58,10.69,5426224,5.37,-24.57,2046.57,24.74,32.96,5.41,48.22,17.00,41.04,14.16
22,Satin Creditcare,236.65,439199,210047,4.64,7.90,4.22,210293,2.43,63.15,2614.29,172.00,225.36,-17.11,-24.31,65.87,20.69,13.84
23,Shree Refrigerat,407.60,399000,201100,6.19,3.12,2.25,239976,8.07,64.06,1459.06,343.56,69.39,104.72,1171.34,127.01,55.53,13.84
24,Excelsoft Tech.,86.62,4466530,1804421,6.04,10.94,22.87,2213836,15.69,,995.15,57.24,11.35,-1.11,-44.40,22.78,26.78,13.64
25,TGV Sraac,124.78,11760837,2662058,14.15,21.63,18.36,826948,21.44,0.59,1335.78,17.20,18.18,6.26,62.27,50.74,7.60,12.96
26,Protean eGov,690.70,3839006,6722716,7.59,40.87,22.10,1800208,15.68,-23.46,2816.18,-75.43,-9.67,-18.40,-80.71,43.43,21.39,12.69
27,Aether Industri.,1767.00,1779611,461847,7.34,8.40,6.77,293584,33.35,138.59,23451.66,27.98,30.35,7.03,16.18,50.98,34.44,11.92
28,Uttam Sug.Mills,293.15,2910214,694099,12.75,12.64,-6.29,379304,28.96,16.05,1115.23,-91.55,-9.38,28.99,-97.62,23.85,7.83,11.45
29,Nelcast,118.39,722395,197761,8.72,9.28,2.64,146436,-10.70,-17.76,1037.06,-58.88,1.31,-7.37,-66.34,-0.50,4.22,11.43
30,ISGEC Heavy,890.55,227420,247434,4.76,13.27,15.76,95778,-3.51,-4.71,6543.93,29.15,13.15,-3.33,-79.40,-0.15,19.52,11.22
31,Bhageria Indust.,394.60,1030670,491443,9.72,17.88,78.31,285429,80.08,125.02,1726.04,199.75,54.14,6.47,154.89,194.37,55.21,11.01
32,Whirlpool India,918.90,30026254,10039430,7.67,28.03,19.07,2979694,14.46,-26.43,11629.64,-29.40,-23.36,25.04,27.80,13.61,6.03,10.67
33,ACS Tech,84.38,792579,588269,4.99,27.56,74.16,410813,88.22,136.96,584.45,422.67,137.61,-21.53,75.78,141.02,140.73,10.28
34,Greaves Cotton,234.78,11734032,6761579,5.84,18.97,20.02,2290235,9.66,5.61,5467.51,-22.68,49.46,-2.61,180.00,84.76,21.20,10.11
35,Ugar Sugar Works,64.03,14105557,3250030,14.81,12.75,16.48,1944539,65.88,49.50,720.85,110.85,258.90,22.69,-96.74,64.52,17.18,9.00
36,Mawana Sugars,149.64,2687770,686324,14.49,16.71,6.04,420788,41.72,65.97,584.05,-70.53,-27.96,11.02,-136.75,72.26,8.61,8.35
37,Electronics Mart,200.22,7063942,3968248,5.85,2.01,8.50,3334825,68.05,32.45,7699.78,351.33,77.81,26.43,203.65,119.32,20.15,8.17
38,Allied Digital,115.52,2383499,549450,20.00,19.97,5.52,206405,-9.93,-37.36,654.57,-14.20,7.64,-2.72,465.49,25.91,19.18,7.39
39,Shoppers Stop,423.55,3686076,766529,10.00,5.95,9.73,380426,18.84,-22.50,4652.66,9.47,-205.38,6.75,12.84,44.06,9.62,7.03
40,Avadh Sugar,796.50,487308,155774,10.00,9.04,-2.11,146797,78.65,85.36,1591.61,102.73,-5.07,16.20,-99.59,75.79,4.23,6.83
41,Dhampur Sugar,174.67,2249323,934407,6.09,11.81,-4.90,883309,27.73,27.68,1122.83,609.41,36.47,12.63,-86.67,30.77,1.27,6.43
42,ESAF Small Fin,42.86,1297882,885386,5.00,9.36,-2.94,553773,30.12,49.23,2216.43,198.60,99.16,10.32,240.62,103.42,3.91,5.65
43,Dhampur Bio,122.25,369356,155897,7.99,5.14,-4.29,231502,9.10,44.42,806.96,2.41,1041.52,15.96,-20.49,15.28,7.92,4.98
44,Mukand,167.05,1157497,1038012,7.59,23.94,21.91,319925,25.54,24.45,2420.97,97.59,689.32,7.34,-89.66,44.06,7.57,4.44
45,Lloyds Enterpris,79.67,12749006,5819234,5.41,15.73,7.14,2982088,8.88,22.85,12171.70,-74.50,-59.37,-21.76,60.51,87.02,32.92,3.67
46,Capillary Tech.,599.45,1358367,1114984,5.62,23.84,18.33,485390,18.11,,4779.79,2949.33,321.76,34.12,-122.02,16.89,22.79,3.42
47,Saurashtra Cem.,55.72,452796,133933,5.61,4.13,-5.58,101716,-4.23,-47.10,622.57,-45.82,91.41,2.26,-51.51,5.97,7.86,2.51
