S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,GE Vernova T&D,4750.00,4655373,1408851,8.77,9.85,10.49,1109537,-2.38,73.40,121740.83,24.65,76.51,12.16,3.19,26.67,43.91,77.44
2,Crizac,171.94,1679343,574483,6.04,4.44,-8.53,311522,-17.29,-54.06,3008.65,2.88,38.40,-48.64,-38.03,-18.38,15.17,52.34
3,Hindustan Copper,532.85,27350247,10119624,4.67,1.18,-0.61,17970288,4.34,116.91,51548.12,162.59,147.12,-18.99,-20.59,1.04,67.07,42.38
4,Krishna Defence,1111.60,191647,103998,4.24,10.97,-5.91,114440,-8.68,48.93,1661.59,32.92,73.10,-11.18,-5.12,3.16,29.10,31.07
5,Raymond Realty,582.50,944752,783234,5.20,12.72,-15.58,462968,0.94,-6.15,3870.23,-18.61,1023.82,-54.47,-91.66,49.74,284.43,29.61
6,Global Education,126.62,385486,362213,5.38,14.96,24.33,172507,23.50,96.28,644.51,0.23,4.18,-41.02,-43.28,22.31,28.49,29.20
7,Airfloa Rail,548.15,254500,182300,7.80,16.91,73.74,154659,71.38,,1313.91,68.77,53.53,152.99,123.90,100.05,66.12,25.87
8,Jain Resource,296.55,2973062,1648923,5.40,5.65,-3.84,1400059,-12.25,,10233.52,21.02,66.12,-12.26,5.12,-30.80,65.35,25.66
9,Avanti Feeds,837.15,1165099,461776,6.43,0.41,-7.66,414134,-16.73,26.86,11399.28,-42.00,-7.06,29.44,-16.25,-33.03,11.41,24.38
10,Kwality Pharma,3661.40,183171,63995,7.33,7.99,40.19,99121,46.07,286.90,3798.47,114.75,88.02,3.34,1.22,120.53,37.94,24.08
11,Bhansali Engg.,133.84,6116362,2506039,5.52,5.25,8.31,1887504,39.84,27.35,3331.77,42.95,15.83,38.21,27.13,59.69,5.47,23.75
12,Data Pattern,4932.30,3032581,916359,7.44,9.24,12.59,882886,13.29,94.29,27614.78,-13.49,25.98,-66.35,-84.06,48.03,33.81,21.92
13,Venus Pipes,1949.90,1079013,400429,8.00,21.36,21.56,195318,41.87,44.27,4043.02,6.66,15.37,6.07,3.57,91.99,21.73,21.27
14,Antelopus Selan,1099.15,10206575,10538356,11.55,38.67,37.49,2489250,34.24,94.66,3860.76,450.71,119.13,28.46,42.65,90.87,46.50,21.22
15,GNG Electronics,665.15,1791466,1149041,7.44,2.25,26.54,794054,69.42,84.56,7565.14,56.21,88.87,-36.71,-31.36,71.30,35.64,20.30
16,Sai Life,1647.10,1451100,1409603,4.27,8.50,20.65,827503,38.63,93.61,35008.94,21.22,50.65,-7.95,-29.69,63.27,17.74,19.65
17,AGI Greenpac,783.80,379623,191576,6.98,0.20,10.43,199584,27.41,-9.14,5081.38,12.08,5.74,5.78,-13.86,45.03,4.26,19.54
18,Wheels India,2106.40,4088747,1078227,20.00,36.62,51.89,330550,33.01,180.93,5145.98,28.21,39.52,-4.67,-33.79,126.32,17.47,18.83
19,Hirect,1281.40,272509,84772,5.73,2.66,-2.20,97492,21.66,54.36,4554.94,-40.88,-8.78,-7.64,511.39,69.70,41.95,18.81
20,Guj. Themis Bio.,453.25,1921422,1364138,5.58,7.93,27.34,598153,18.02,18.13,5894.32,22.19,9.15,-0.99,1.65,52.17,17.51,17.86
