S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
21,Eveready Inds.,348.85,431476,150459,6.63,7.31,-2.23,112926,4.40,-23.23,2531.44,2.52,78.17,24.59,-73.92,11.42,8.74,17.23
22,Asian Energy,553.55,1769284,911086,8.16,13.34,35.49,844035,50.42,55.10,2693.39,115.50,41.59,-19.82,-60.92,98.41,82.01,16.51
23,Deep Industries,818.70,988939,1057504,4.27,23.11,28.14,573339,64.55,52.74,5238.68,45.12,132.59,12.15,1334.63,139.95,48.75,16.47
24,Nephrocare Health Services,744.10,727069,307915,4.68,7.90,7.20,229878,2.90,,7464.75,34.89,11.62,6.07,5.27,32.88,32.16,15.34
25,Hatsun Agro,1198.00,191250,135561,5.76,1.65,27.30,116169,34.29,32.87,26689.95,-9.72,23.28,19.90,162.70,26.65,17.54,15.19
26,Anuh Pharma,95.53,1912402,694192,5.80,17.32,20.44,219532,25.91,11.37,953.42,37.59,-4.29,-4.11,-2.23,22.07,9.70,14.94
27,E to E Transportation,374.95,401600,310720,7.08,26.46,40.04,157964,36.84,,647.07,1.64,16.91,,,112.44,51.51,14.79
28,Goodluck India,515.65,1637758,767403,7.48,13.86,2.53,624106,18.79,24.69,5153.11,59.54,28.75,18.28,19.82,46.71,9.94,14.42
29,Edelweiss.Fin.,138.80,24366503,15988695,4.58,7.65,17.09,8028624,29.50,17.89,13110.33,83.05,54.83,21.40,1.83,28.41,13.98,14.10
30,GMM Pfaudler,1285.20,1216068,787451,4.01,18.58,30.17,323745,69.64,10.55,5779.54,114.35,48.91,-1.99,44.07,44.28,13.91,13.64
31,Galaxy Surfact.,2251.90,168011,57069,5.40,1.01,8.96,105496,32.78,-3.78,7991.16,108.73,19.27,35.54,165.77,21.54,27.05,13.53
32,Subex,19.23,32849221,8478751,14.87,7.55,39.96,8955574,90.77,46.91,1084.60,11.01,448.98,8.90,43.20,127.57,2.91,12.76
33,MMP Industries,478.50,482392,216857,7.54,24.85,46.67,153563,83.58,71.20,1215.52,15.32,13.12,-6.84,-23.85,111.30,21.35,12.49
34,Sakar Healthcare,1157.85,580120,312300,4.39,19.89,25.22,201783,38.00,251.56,2576.21,120.13,82.27,2.63,-6.72,107.95,43.76,12.42
35,Paramount Comm.,69.05,5036386,2731344,5.24,8.83,0.19,2369063,10.20,47.35,2261.66,6.49,-24.00,-7.66,-4.00,108.36,16.77,12.35
36,BMW Industries,53.10,391183,250681,4.90,7.75,2.71,212357,-12.04,11.51,1195.21,25.79,25.22,-20.76,-42.34,59.84,13.07,12.35
37,Rossell Techsys,1218.00,428271,219656,6.08,7.20,11.47,266978,19.74,71.46,4591.83,116.36,73.64,8.72,-5.05,69.59,82.91,11.50
38,Mishra Dhatu Nig,477.00,38739882,8139099,13.60,14.27,9.62,3494475,10.06,26.39,8923.37,27.42,14.04,-56.67,-79.02,43.54,18.17,11.30
39,Unimech Aero.,1629.60,1005246,335563,8.95,10.47,12.64,241224,41.84,54.35,8288.34,45.71,-12.11,31.56,6.74,91.17,15.57,11.15
40,Bhageria Indust.,335.80,284779,350450,4.99,27.58,61.89,133579,61.56,64.51,1473.17,199.75,54.14,6.47,154.89,122.10,55.21,11.01
41,IKIO Tech,219.73,2378996,822307,8.25,5.88,7.68,687751,42.46,5.47,1698.75,408.96,125.18,2.38,-36.97,64.57,34.54,9.49
42,Jubilant Pharmo,997.75,1468855,504251,4.99,9.93,7.05,461448,3.45,-9.79,15852.45,-45.09,-20.14,-2.65,-52.72,20.55,16.27,8.99
43,Genesys Intl.,288.19,9026402,2221270,20.00,27.56,26.70,2215123,28.22,-31.66,1927.45,-25.14,-39.96,-21.93,-58.49,55.74,3.73,8.23
44,Sterlite Tech.,824.70,3521630,1613792,4.88,18.88,29.08,1660044,41.62,581.74,42309.62,1870.00,1489.53,32.55,233.90,310.63,36.18,7.65
45,Indo Farm Equip.,144.16,2566917,580566,9.50,6.92,-9.32,240638,13.01,-43.74,690.88,4.24,-6.03,-17.73,-35.09,14.86,11.14,7.42
46,NELCO,973.10,2002714,570126,4.28,5.27,1.48,578966,36.59,19.61,2219.30,15.56,-11.82,1.07,114.68,63.73,2.05,7.21
47,Gayatri Projects,23.26,3161592,1108803,4.87,12.42,15.78,735560,6.94,164.62,1079.96,10265.52,-24.01,19.56,133.44,83.15,145.41,6.98
48,PVR Inox,1231.30,1975899,1305833,6.47,0.25,6.51,712848,28.57,10.75,12081.96,220.30,321.24,4.84,-69.69,23.59,13.68,6.79
49,Sheela Foam,675.95,3118075,701559,5.17,4.84,-0.21,299158,-2.96,-5.62,7395.99,769.22,261.53,-1.73,-32.07,29.42,16.82,6.11
50,TCC Concept,49.07,7109040,1768008,19.45,7.87,-10.37,738862,-33.41,-54.90,1169.81,30.25,42.81,52.95,-59.17,-40.63,205.31,5.65
51,Bodal Chemicals,184.05,6053602,12081847,7.52,45.20,166.82,4032840,166.82,180.18,2321.80,218.78,128.70,20.58,-5.24,316.21,27.57,5.59
52,Ganesha Ecosphe.,1040.40,161321,145492,5.09,1.54,-2.25,93191,14.05,-22.22,2786.73,170.05,-38.15,-0.06,25.08,35.43,6.96,5.58
53,Laxmi Organic,184.52,3454610,1383734,7.29,11.90,5.06,810103,23.05,-13.40,5126.29,216.60,25.01,31.69,214.25,50.68,5.47,4.72
54,NOCIL,185.07,6753489,1738364,7.46,9.11,9.74,763594,14.56,1.79,3098.87,60.83,-25.26,22.00,63.29,42.44,0.96,3.93
55,Asian Hotels (N),405.75,146684,46927,6.04,9.90,29.76,87413,35.09,18.33,1741.91,73.87,115.61,-24.57,-111.06,32.40,6.76,3.52
56,Raymond,857.80,14181608,7860842,11.06,35.02,39.49,2218940,55.15,41.17,5707.73,1.85,228.88,0.45,158.59,126.96,13.45,3.14
57,Coffee Day Enter,34.24,2629033,1525315,9.99,17.74,5.68,723941,3.35,-29.85,722.63,112.35,79.61,3.35,-96.58,34.54,4.53,1.27
58,Astec Lifescienc,662.80,1319673,292354,20.00,17.85,6.82,97134,-14.58,-21.67,1477.57,43.34,49.62,-47.32,-141.42,5.82,9.33,-5.44
