S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Merritronix,387.85,272000,195250,6.19,20.24,17.16,168500,-1.11,,678.15,,85.91,,,,37.28,41.14
2,KRM Ayurveda,307.70,311000,171500,4.71,7.78,8.79,101600,23.57,,654.19,124.20,66.28,0.34,16.26,61.78,32.84,35.31
3,TD Power Systems,804.90,4693929,2452005,5.53,9.64,8.43,1957142,37.65,191.81,25149.65,72.34,45.27,8.63,19.53,92.44,54.29,34.02
4,Neetu Yoshi,216.00,181600,145200,4.52,10.97,42.11,99080,48.30,69.08,838.35,58.96,52.47,22.76,16.72,152.72,39.33,31.78
5,Bizotic Commer.,105.67,128400,59400,5.00,21.53,-7.56,84660,-13.28,42.07,611.32,146.45,318.41,139.90,15.87,-32.83,124.04,26.79
6,Black Box,800.80,1793759,671845,7.51,3.43,0.62,445462,-21.24,78.31,14222.14,20.84,4.15,1.63,-13.65,57.53,12.20,21.56
7,Anlon Healthcare,19.57,157630262,52751298,11.57,26.42,35.62,13783092,21.78,78.88,1040.17,87.61,38.94,72.06,-25.20,71.52,42.96,20.77
8,Indus Towers,388.00,17370254,6599777,4.30,3.07,0.95,4706314,-5.77,7.23,102360.71,0.52,-26.57,4.07,-2.63,-12.01,6.72,19.48
9,Filatex India,87.41,40014914,10627970,14.64,14.13,7.40,4344332,64.40,56.54,3881.51,20.65,34.47,16.22,22.09,115.08,0.22,19.06
10,India Homes,26.90,2917397,3493137,5.00,-8.78,3.18,1168437,21.50,123.24,1070.84,-116.89,233.02,-100.00,-84.95,80.42,81500.00,17.52
11,RACL Geartech,1756.70,1174390,334852,10.61,11.63,26.63,112699,32.85,90.11,2070.81,5.79,70.89,-1.64,-24.33,43.92,22.69,16.55
12,Sun TV Network,476.00,3463211,1066496,4.49,5.11,-1.77,558315,-8.44,-14.40,18758.43,16.96,-7.84,65.20,166.45,-20.45,12.66,16.41
13,Indiabulls,26.14,33935846,33843364,4.98,1.71,-3.47,16057921,9.46,38.97,6096.38,35647.50,371.40,-12.01,-27.41,152.07,165.66,16.17
14,Heritage Foods,417.40,3845546,1637356,4.86,8.66,16.59,939996,26.73,-14.33,3873.31,-38.42,-28.12,15.60,4.30,30.36,11.53,14.80
15,Standard Engineering Technology,468.15,3232638,1599699,4.99,20.49,56.89,1595222,172.20,155.61,9339.20,26.26,21.41,9.27,26.90,294.23,31.60,14.68
16,M.V.K. Agro,299.80,900600,560025,4.39,20.81,30.95,337425,-32.02,-25.00,1514.11,84.93,399.79,-51.06,-79.15,-36.19,113.64,14.37
17,SMS Pharma.,463.45,10864884,3176603,11.02,16.46,28.26,966435,23.13,59.11,4340.30,2.05,39.99,-13.02,-36.07,21.24,10.25,13.30
18,AWFIS Space,293.20,25082433,6434667,17.47,14.89,10.00,1534046,-3.57,-48.19,2098.23,140.08,69.78,3.60,3.05,6.21,23.29,13.17
19,Subex,20.80,36835263,27987765,5.26,24.25,49.86,13543395,79.62,61.74,1172.46,11.01,448.98,8.90,43.20,145.57,2.91,12.76
20,Blackbuck,628.15,4759880,1614476,7.21,7.63,9.98,832549,13.72,0.56,11442.83,25.13,-52.59,10.11,-35.84,5.43,49.01,12.76
21,HLE Glascoat,404.35,940571,936610,10.00,20.25,23.39,368401,5.85,-22.43,2808.40,-81.23,-30.00,-23.22,-89.83,41.18,26.31,12.07
22,Venky's (India),1787.20,266674,153605,4.72,8.43,16.96,136217,26.55,19.59,2517.69,215.79,202.79,1.63,-50.69,35.30,18.28,11.90
23,All Time Plastic,221.15,439453,159166,5.23,3.03,2.60,158241,-11.26,-19.05,1448.70,-5.62,-20.53,10.50,28.72,2.07,4.68,11.57
24,Bhageria Indust.,317.05,433447,244215,4.60,-0.88,59.12,174860,42.13,55.32,1383.74,199.75,54.14,6.47,154.89,114.28,55.21,11.01
25,Finkurve Fin.,72.49,811962,315289,8.63,1.46,-0.34,282188,1.71,-30.03,1015.90,65.82,62.23,11.54,4.98,27.65,59.57,10.30
26,Ugar Sugar Works,54.30,11943219,3238145,8.77,0.20,12.68,1790291,33.22,22.44,610.88,110.85,258.90,22.69,-96.74,46.40,17.18,9.00
27,Birla Cable,392.35,1101439,910156,4.72,9.67,36.02,357801,88.31,138.26,1177.05,2190.30,628.86,24.54,183.90,196.22,28.14,8.93
28,AvenuesAI,16.29,44816537,17997966,6.05,2.20,5.57,12851028,13.84,2.20,5682.60,24.33,38.50,7.67,-4.71,10.82,110.17,7.72
29,Gayatri Projects,26.03,3178394,3114968,4.96,17.36,23.02,1192996,8.05,160.82,1208.57,10265.52,-24.01,19.56,133.44,95.27,145.41,6.98
30,Bluestone Jewel,890.35,1389884,888926,4.12,2.34,5.34,842829,70.63,38.66,13602.65,120.16,128.59,8.13,-80.89,63.91,40.02,6.78
31,Spice LoungeFood,32.94,1127145,1113380,4.97,21.46,19.18,676775,35.22,-25.54,2296.32,507.63,250.78,-14.63,-3.02,13.86,20.89,6.42
32,Pine Labs,202.17,291642526,98255368,16.75,22.91,22.63,35177026,34.70,,23327.55,308.56,261.55,5.20,-67.03,17.90,19.59,4.15
33,Physicswallah,136.10,44050924,17093054,7.39,4.96,16.21,22794683,24.41,,39481.07,35.60,124.98,14.71,-27.68,56.76,32.53,4.02
34,Raymond,1002.80,17380262,10239060,17.44,29.83,57.81,3614037,69.94,63.15,6676.01,1.85,228.88,0.45,158.59,166.07,13.45,3.14
35,One Mobikwik,209.70,18999027,5294362,7.72,7.96,3.19,1582849,5.94,-29.52,1651.32,118.18,101.87,-2.50,73.97,13.20,2.74,-2.25
36,Quadrant Future,478.50,10863863,3276172,9.80,15.12,32.75,2968607,16.28,8.21,1914.00,32.37,-61.22,-28.24,-900.88,55.91,7.14,-15.48
