S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Crizac,186.10,1143957,358466,5.44,5.40,5.09,384805,-7.59,-39.76,3261.97,2.88,38.40,-48.64,-38.03,-1.77,15.17,52.34
2,Frontier Springs,1510.40,1732088,434721,8.30,26.14,18.14,116524,6.73,-2.81,1784.68,-18.52,38.12,-4.94,-27.61,17.47,27.05,50.63
3,Sedemac Mechatro,3313.60,1268445,399263,9.17,6.53,7.52,234396,24.28,,14553.39,95.14,116.56,7.67,3.83,117.43,60.76,35.31
4,Raymond Realty,708.30,19564291,6945885,5.49,21.17,22.69,2181713,13.41,12.23,4717.17,-18.61,1023.82,-54.47,-91.66,93.16,284.43,29.61
5,Global Education,141.00,873103,418980,4.87,10.88,32.13,245001,32.99,110.20,717.71,0.23,4.18,-41.02,-43.28,46.05,28.49,29.20
6,Jamna Auto Inds.,138.39,14813690,4826341,6.82,9.00,14.70,2754479,5.81,31.52,5539.67,6.05,34.55,-27.17,-44.40,18.67,15.89,26.05
7,Jagsonpal Pharma,243.97,9552927,1951147,8.13,7.36,1.05,539448,9.16,3.72,1607.24,22.13,10.25,28.08,50.57,32.10,3.87,22.73
8,ICICI Lombard,1577.00,3119513,1439389,5.09,6.07,-2.41,1237693,-13.05,-16.05,78557.88,-46.03,-9.23,3.86,-26.23,-9.73,11.84,21.88
9,RNIT AI Solution,105.42,292463,112072,4.99,14.80,24.95,118864,67.57,,893.88,54.88,71.29,-55.45,-70.80,77.24,56.68,20.15
10,Kaveri Seed Co.,783.85,20492060,4146603,10.29,11.45,-0.38,1047845,-15.31,-31.24,4042.28,-14.18,-21.49,593.21,1106.26,-1.00,1.46,18.79
11,Allied Blenders,712.15,7052821,4087211,8.49,9.04,12.42,1307498,14.44,33.04,19887.74,-12.98,-7.15,-2.78,20.73,79.36,7.97,18.38
12,Cello World,339.80,2405776,702071,4.84,3.72,-4.15,351417,-10.21,-43.16,7662.61,0.52,-3.47,-19.41,-18.55,-13.65,7.24,17.41
13,Vikran Engg.,60.99,35968944,7905477,8.64,8.91,1.68,2756072,-13.17,-40.77,1574.96,-29.38,19.07,-78.13,-92.88,8.97,36.41,16.85
14,Sun TV Network,512.70,3670142,2093356,4.59,9.46,9.34,968889,-0.16,-5.59,20180.02,16.96,-7.84,65.20,166.45,-12.51,12.66,16.41
15,Priority Jewels,303.99,2509510,930393,15.43,37.45,,684670,,,549.90,,73.60,,,,23.32,13.20
16,India Glycols,306.00,5353346,1735786,18.74,23.04,23.59,657142,51.41,65.36,2046.65,32.19,30.01,15.78,11.45,63.49,12.01,12.40
17,ACS Tech,80.37,1082293,553968,4.98,27.57,57.71,389087,79.28,121.22,556.61,422.67,137.61,-21.53,75.78,129.56,140.73,10.28
18,Greaves Cotton,221.83,16569635,4748865,7.68,15.71,15.43,1767038,3.62,-0.28,5169.06,-22.68,49.46,-2.61,180.00,74.57,21.20,10.11
19,Sanathan Textile,529.25,840207,313351,4.52,14.57,17.19,178045,18.96,2.49,4452.14,-41.08,-59.72,14.16,10.43,38.95,48.53,6.89
20,South Ind.Bank,49.90,62966673,21134721,5.99,8.76,10.03,12612819,9.89,67.00,13070.31,17.29,13.54,2.67,-7.33,39.35,6.88,6.42
21,Bluspring Enter.,140.56,1701126,594392,6.01,13.61,10.83,554243,30.22,74.28,2099.66,88.70,152.46,9.77,-141.62,173.94,11.84,5.22
22,Capillary Tech.,567.55,827110,954929,4.03,26.42,11.20,428034,11.82,,4510.85,2949.33,321.76,34.12,-122.02,10.67,22.79,3.42
23,Kabra Extrusion,806.10,557487,305503,10.00,27.40,32.33,353495,228.99,195.44,2819.35,77.14,-95.56,3.61,-125.22,324.60,3.14,0.06
