S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Merritronix,387.85,272000,186000,6.19,13.92,15.38,160500,7.36,,678.15,,85.91,,,,37.28,41.14
2,KRM Ayurveda,307.70,311000,141400,4.71,6.90,0.90,99818,26.29,,654.20,124.20,66.28,0.34,16.26,61.56,32.84,35.31
3,TD Power Systems,804.90,4693929,2157844,5.53,8.76,8.76,1925638,34.96,191.16,25146.36,72.34,45.27,8.63,19.53,106.25,54.29,34.02
4,Neetu Yoshi,216.00,181600,149920,4.52,15.91,35.17,97745,51.37,69.74,838.35,58.96,52.47,22.76,16.72,154.51,39.33,31.78
5,Bizotic Commer.,105.67,128400,53760,5.00,27.61,-1.91,80664,-12.92,44.89,611.32,146.45,318.41,139.90,15.87,-32.08,124.04,26.79
6,Black Box,800.80,1793759,803879,7.51,12.43,3.72,548000,-21.38,77.01,14210.70,20.84,4.15,1.63,-13.65,61.34,12.20,21.56
7,Anlon Healthcare,19.57,157630262,42677355,11.57,24.81,37.53,12724390,29.95,79.87,1038.99,87.61,38.94,72.06,-25.20,68.27,42.96,20.77
8,Indus Towers,388.00,17370254,6166230,4.30,2.97,1.20,4846796,-7.88,9.84,102168.46,0.52,-26.57,4.07,-2.63,-8.48,6.72,19.48
9,Filatex India,87.41,40014914,8710285,14.64,12.47,4.92,4138422,68.36,54.49,3887.64,20.65,34.47,16.22,22.09,115.67,0.22,19.06
10,India Homes,26.90,2917397,2910753,5.00,-6.34,3.94,1077792,19.66,127.58,1070.83,-116.89,233.02,-100.00,-84.95,80.29,81500.00,17.52
11,RACL Geartech,1756.70,1174390,273458,10.61,11.46,24.46,104582,37.52,93.19,2066.77,5.79,70.89,-1.64,-24.33,42.83,22.69,16.55
12,Sun TV Network,476.00,3463211,976283,4.49,1.08,-0.46,709483,-7.52,-15.03,18768.72,16.96,-7.84,65.20,166.45,-15.42,12.66,16.41
13,Indiabulls,26.14,33935846,28895652,4.98,1.83,-4.77,15685768,11.19,38.97,6155.72,35647.50,371.40,-12.01,-27.41,168.65,165.66,16.17
14,Heritage Foods,417.40,3845546,1586532,4.86,9.17,16.71,868466,30.44,-14.07,3872.81,-38.42,-28.12,15.60,4.30,36.25,11.53,14.80
15,Standard Engineering Technology,468.15,3232638,1550827,4.99,14.48,56.02,1492523,194.62,149.51,9340.25,26.26,21.41,9.27,26.90,303.20,31.60,14.68
16,M.V.K. Agro,299.80,900600,451080,4.39,26.85,18.22,310895,-33.41,-23.54,1514.10,84.93,399.79,-51.06,-79.15,-40.52,113.64,14.37
17,SMS Pharma.,463.45,10864884,3338227,11.02,18.08,25.41,890786,20.86,54.19,4322.70,2.05,39.99,-13.02,-36.07,25.68,10.25,13.30
18,AWFIS Space,293.20,25082433,5212441,17.47,12.42,6.99,1441546,-3.25,-48.88,2095.72,140.08,69.78,3.60,3.05,8.55,23.29,13.17
19,Subex,20.80,36835263,22995127,5.26,20.37,54.42,12386445,97.91,61.62,1173.06,11.01,448.98,8.90,43.20,152.43,2.91,12.76
20,Blackbuck,628.15,4759880,1333678,7.21,7.17,10.58,775682,14.96,0.62,11452.61,25.13,-52.59,10.11,-35.84,11.94,49.01,12.76
21,HLE Glascoat,404.35,940571,810621,10.00,21.19,23.86,385766,6.02,-24.53,2809.17,-81.23,-30.00,-23.22,-89.83,37.70,26.31,12.07
22,Venky's (India),1787.20,266674,131569,4.72,7.69,17.96,128905,28.28,19.40,2518.58,215.79,202.79,1.63,-50.69,46.88,18.28,11.90
23,All Time Plastic,221.15,439453,183332,5.23,7.31,1.16,145938,-5.58,-20.64,1450.15,-5.62,-20.53,10.50,28.72,11.56,4.68,11.57
24,Bhageria Indust.,317.05,433447,224130,4.60,4.07,54.39,162239,51.52,53.28,1388.09,199.75,54.14,6.47,154.89,115.74,55.21,11.01
25,Finkurve Fin.,72.49,811962,266748,8.63,0.25,18.08,305281,13.94,-27.29,1020.80,65.82,62.23,11.54,4.98,25.61,59.57,10.19
26,Ugar Sugar Works,54.30,11943219,2736456,8.77,1.78,22.99,1734906,37.16,19.76,610.26,110.85,258.90,22.69,-96.74,46.96,17.18,9.00
