S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Manorama Indust.,1737.10,7786358,1673430,7.62,6.17,8.02,473236,33.05,26.21,10957.86,61.31,77.23,5.67,37.08,23.17,58.81,35.45
2.,Afcom Holdings,1502.05,217920,125328,4.84,5.16,6.31,84955,66.34,68.75,4310.68,72.83,160.47,24.74,29.64,65.04,144.27,33.49
3.,Shanti Gold,247.66,9113226,2981849,6.80,10.56,16.04,1550969,18.45,0.12,1907.11,104.87,206.97,8.72,-2.79,13.75,110.66,33.49
4.,Xtranet Techno.,172.50,2458065,965823,14.69,26.64,,945990,,,895.97,,35.33,,,,32.31,32.81
5.,LG Electronics,1729.70,10727185,2521159,9.59,9.03,11.11,779063,9.49,,117392.39,27.20,-10.42,-10.18,-5.76,14.46,5.59,32.27
6.,Modison,339.15,174736,226849,5.00,21.58,17.74,103292,109.61,112.10,1094.95,506.77,294.95,-5.86,-6.00,132.18,66.70,30.98
7.,MSTC,623.40,861173,321521,7.35,5.44,-4.79,284775,47.64,40.04,4391.01,37.51,8.30,-20.67,-24.61,30.58,21.02,30.27
8.,SJS Enterprises,2532.50,480037,258082,5.30,3.53,16.64,179803,33.10,115.28,8106.37,57.47,53.02,0.34,52.30,40.41,28.78,28.58
9.,Guj Pipavav Port,158.68,7925020,4305902,4.57,4.65,4.85,1742012,5.05,3.15,7671.22,41.76,38.92,4.59,4.01,-10.43,25.07,28.05
10.,KMC Speciality,132.80,902185,285415,7.01,11.18,0.84,142784,40.19,97.35,2165.97,119.76,137.83,11.59,13.26,56.94,35.06,26.04
11.,Balu Forge,493.75,9470417,2728891,10.64,5.27,9.53,962629,3.26,-18.73,5996.41,15.89,18.18,14.10,0.53,-1.52,19.70,22.72
12.,Elgi Equipments,609.50,6198582,1574842,5.72,3.58,6.74,616441,16.48,23.61,19320.63,27.00,27.86,-4.53,-19.30,19.62,15.94,22.07
13.,Thomas Scott,346.90,212949,337232,6.31,10.07,8.17,103698,28.01,3.06,508.37,63.22,58.07,17.45,21.13,6.84,76.79,20.54
14.,OBSC Perfection,852.00,283600,134560,4.02,13.75,30.08,91109,126.75,176.04,2202.04,88.27,61.45,8.10,9.35,182.07,54.27,19.52
15.,Honasa Consumer,502.80,24124394,5884029,4.87,5.28,6.81,1953592,42.03,79.89,16404.47,118.36,242.32,15.05,30.26,66.79,21.08,19.22
16.,Wheels India,1435.60,189562,95337,6.06,3.52,-2.84,90039,-2.16,99.93,3509.03,28.21,39.52,-4.67,-33.79,65.71,17.47,18.83
17.,Marksans Pharma,333.00,21343085,17176453,9.76,21.60,20.76,5019059,60.52,86.47,15100.31,169.50,47.58,-1.79,6.97,83.22,19.59,18.80
18.,Happy Forgings,2089.60,229568,168899,4.08,9.62,29.20,120328,50.70,120.90,19704.20,39.23,21.60,6.04,9.45,60.76,15.53,18.03
19.,Motisons Jewel,16.75,422810338,113842107,14.57,19.99,19.81,43182766,42.43,-8.17,1901.42,37.61,49.19,-21.92,33.13,5.28,10.73,17.86
20.,Sh. Rama Multi.,43.80,818175,340561,9.80,14.12,3.38,128451,4.43,0.74,584.29,9.66,-53.25,28.91,70.76,-28.15,20.27,17.70
21.,JNK,456.25,1558173,694220,10.43,13.21,-16.43,436358,38.28,46.30,2553.83,915.04,201.64,-46.83,-70.85,89.02,84.36,17.35
22.,Man Industries,599.45,1331236,2825156,4.04,8.00,8.59,798310,7.02,51.22,4484.00,122.41,26.31,-9.00,20.81,41.33,10.75,16.21
23.,KRN Heat Exchan,1468.30,512214,263828,5.00,21.51,14.22,116920,25.22,72.13,9608.52,164.90,81.77,40.58,40.84,105.30,64.04,16.06
24.,HMA Agro Inds.,24.24,12571155,3916026,10.63,9.04,11.55,1379933,0.54,-20.63,1214.42,6158.02,148.84,33.64,513.73,-13.43,42.60,15.99
25.,Vardhman Special,353.35,829930,289083,8.01,3.36,19.33,334299,26.06,38.43,3405.49,106.98,64.91,6.13,21.22,38.14,1.31,15.38
26.,AVT Natural Prod,81.25,2690272,579928,13.94,13.07,14.61,158313,21.96,11.79,1253.25,156.60,54.04,6.50,41.24,23.46,40.77,14.22
27.,Happiest Minds,420.20,7042544,1928844,6.43,3.07,9.38,1555230,16.32,-27.83,6399.40,18.33,18.38,4.04,10.51,12.99,11.50,13.32
28.,Ratnaveer Precis,230.16,22188463,8718597,4.62,11.67,31.32,10425736,29.71,65.06,1643.21,22.01,37.24,26.38,7.11,56.65,17.48,12.29
29.,Asahi India Glas,939.20,671489,206495,4.24,4.51,2.37,184356,14.59,12.21,23974.69,165.41,37.04,4.38,12.42,-1.97,10.32,11.76
30.,Unimech Aero.,1522.60,713934,274863,6.71,5.25,26.20,276660,61.77,42.78,7777.87,45.71,-12.11,31.56,6.74,62.50,15.57,11.15
31.,Apex Frozen Food,426.35,9767611,2039110,15.95,13.17,4.48,528022,-8.51,73.02,1329.45,138.13,440.13,52.86,178.18,-1.40,4.66,10.45
32.,Divgi Torq,1301.05,631073,829842,6.67,24.23,34.66,227500,95.94,101.34,3966.96,182.64,131.14,27.43,63.05,74.74,76.99,10.21
33.,Finkurve Fin.,72.74,835769,234895,15.77,23.50,13.11,96300,8.44,-32.65,1005.32,65.82,62.23,11.54,4.98,-13.92,59.57,10.19
34.,Jaykay Enter.,155.87,550172,317308,4.54,4.72,-10.28,190724,-1.49,3.02,2029.42,586.84,114226.54,1.98,2552.21,-2.58,220.00,8.18
35.,Morepen Labs.,84.19,42323571,27223134,4.08,4.91,37.48,25264945,100.74,81.48,4617.79,424.65,26.79,17.62,258.92,118.39,9.49,8.05
36.,Renaiss. Global,123.03,5827774,2449726,10.70,-0.14,2.45,845668,20.42,16.42,1320.83,65.82,43.83,0.91,-15.16,5.66,41.39,8.00
37.,Baazar Style,365.25,2152983,1231545,4.99,13.91,21.63,426999,-6.25,16.43,2773.41,12.63,59.50,4.44,108.70,3.28,34.94,7.43
38.,Gayatri Projects,21.16,596993,324135,4.96,5.33,-2.85,362053,17.29,150.41,982.46,10265.52,-24.01,19.56,133.44,66.61,145.41,6.98
39.,Triven.Engg.Ind.,266.42,2561850,1410629,6.64,14.24,-4.22,803310,18.08,33.16,5850.77,155.14,27.55,12.24,-97.82,14.70,3.98,6.75
40.,Primo Chemicals,25.62,1482394,420209,4.70,6.93,7.33,259858,6.79,-5.81,623.43,1580.49,348.99,3.37,478.10,17.25,2.22,6.48
41.,Praj Industries,335.25,6646326,1754704,4.26,3.14,-4.96,1063346,-9.51,-18.49,6162.33,117.42,-63.93,-15.24,-0.09,8.69,2.35,6.12
42.,Alembic,86.85,570048,320045,4.15,2.48,-2.94,285221,-3.45,-17.93,2220.83,5.27,1.31,-18.82,-3.34,-9.03,8.21,6.07
43.,Sudarshan Chem.,1118.10,4133572,1178300,6.20,-1.89,4.54,464993,28.72,-22.65,8917.44,106.14,-19.31,-5.30,25.33,20.91,90.13,5.46
44.,Tarsons Products,360.30,10081417,2525035,15.22,15.37,20.80,1011992,74.10,4.75,1918.86,-180.90,-56.99,-8.84,-134.45,79.74,10.63,4.56
45.,Dredging Corpn.,1166.40,1479981,421544,9.58,8.88,13.18,201061,34.25,85.97,3263.77,148.18,205.92,-25.68,-87.07,20.65,7.13,4.28
46.,Zee Entertainmen,102.28,115788354,46812844,5.72,8.59,0.42,33685579,15.78,-12.02,9814.05,-48.30,-72.62,-5.80,171.65,6.32,2.42,2.75
47.,C C C L,16.00,532215,321507,6.03,4.23,-5.83,286049,7.38,2.83,714.34,48.27,94.75,16.54,-174.50,-5.77,77.34,-1.85
48.,Ideaforge Tech,820.85,869063,947439,4.99,-9.96,-6.48,335896,0.26,83.35,4078.38,89.01,104.52,-51.37,-104.32,99.72,221.12,-2.81
