S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,GE Power,688.90,383865,210800,5.00,5.55,3.23,210253,-33.42,94.58,4621.08,42.52,550.11,-2.44,-52.54,67.51,18.73,81.99
2,GK Energy,126.59,1556615,617795,5.69,-0.99,2.67,766507,-14.20,,2566.82,61.53,46.17,20.69,1.05,27.15,40.71,40.87
3,K.P. Energy,232.32,1076233,411915,7.12,8.10,-10.40,358461,-32.53,-45.15,1576.76,2.60,48.57,-17.78,-66.86,-15.61,74.26,39.22
4,Saatvik Green,431.60,321803,389401,4.81,9.00,3.02,143185,-6.38,,5479.86,-95.36,-21.14,-68.21,-91.13,13.82,46.52,32.92
5,Engineers India,285.25,11300544,3961454,7.10,6.06,16.47,6752330,9.61,38.07,16023.24,141.50,41.65,-11.49,-19.22,45.55,16.30,30.40
6,Silver Touch,160.70,1325495,623273,9.86,5.38,-13.57,679467,-15.47,121.62,2035.47,147.28,81.93,-22.39,-24.36,40.72,20.90,29.78
7,Ceinsys Tech,709.65,145435,91970,5.08,0.37,-6.46,87733,-22.18,-58.28,1485.73,-2.18,61.26,-7.57,-16.73,-30.80,32.16,27.46
8,Centum Electron,4739.20,305764,111009,9.37,13.05,37.81,112886,29.24,67.34,6995.36,-36.87,67.28,-40.03,6332.93,67.46,8.19,25.53
9,Rajputana Stain.,197.88,1142004,576470,9.20,4.09,20.04,570020,52.99,,1661.98,80.52,24.13,20.25,54.20,85.80,8.05,25.33
10,Supriya Lifesci.,957.70,563408,244270,5.67,6.20,18.90,308105,-0.33,31.88,7714.65,-30.90,11.58,-31.38,-67.61,61.61,28.14,25.17
11,Indo-MIM,1161.45,4986290,3208860,10.00,14.07,31.67,2530074,,,57325.62,31.64,20.16,16.31,72.57,,25.93,24.98
12,Rajoo Engineers,55.23,600682,284429,4.23,0.07,9.67,283975,-2.39,-42.19,988.13,3.40,1.76,55.00,635.17,1.51,32.79,24.70
