S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
13,Solarworld Ene.,140.82,740073,377883,5.44,-0.47,-6.09,348424,-23.87,,1216.97,-26.41,34.09,-71.54,-80.64,-9.43,150.04,23.80
14,Studds Accessor.,430.50,1012151,227457,5.75,2.83,-4.37,91742,-11.95,,1695.62,-39.26,0.90,1.28,-41.71,-10.63,10.40,22.93
15,Refex Industries,293.20,7853526,1822516,7.85,7.18,-0.26,654950,-13.50,-15.66,4016.62,145.38,56.27,-1.91,-31.65,42.21,37.90,22.71
16,EPack PrefabTech,241.57,1996400,778204,6.77,0.47,3.08,599503,-6.74,,2431.05,13.35,52.62,-22.29,-40.01,64.96,37.53,21.71
17,Jyoti CNC Auto.,1113.85,6071879,2486676,6.11,13.08,12.65,1490859,50.59,16.77,25317.05,-19.99,-4.40,-15.14,-36.91,43.42,17.44,21.32
18,Anlon Healthcare,26.24,137325108,111279409,14.59,34.08,83.75,41023832,63.39,95.09,1392.26,87.61,38.94,72.06,-25.20,125.82,42.96,20.77
19,AGI Greenpac,819.35,1063090,314543,9.97,7.43,8.72,252971,14.67,-2.42,5297.78,12.08,5.74,5.78,-13.86,60.64,4.26,19.54
20,Usha Martin,533.90,3535761,1634331,5.26,7.97,10.93,1151983,13.45,25.17,16284.61,40.67,34.83,5.49,-4.05,28.96,8.54,19.47
21,Sambhv Steel,155.13,62684605,19402581,5.12,18.35,19.93,6009782,40.63,25.58,4556.42,69.49,149.65,6.84,1.49,62.80,48.73,19.07
22,Filatex India,102.20,14820638,8841738,8.92,16.92,23.04,5924302,91.35,79.49,4530.07,20.65,34.47,16.22,22.09,151.35,0.22,19.06
23,Marine Electric.,415.80,1825343,1022438,9.65,-0.80,10.69,1039764,51.39,88.34,5818.89,48.75,51.55,-6.60,-5.71,144.92,21.81,18.22
24,Swaraj Suiting,286.70,776053,248285,5.00,-14.46,-22.01,147423,16.17,65.01,756.86,83.26,60.62,-11.52,-33.47,2.23,38.45,17.92
25,Manaksia Coated,135.19,1254166,684871,4.62,5.18,7.83,510811,24.96,-2.88,1440.70,0.64,59.61,15.25,162.57,25.07,7.07,17.83
26,Jash Engineering,575.90,15169009,3145798,10.51,12.03,21.88,901198,2.88,10.14,3627.15,195.48,4.88,-48.41,-91.02,59.44,1.36,17.68
27,20 Microns,220.12,589709,195315,5.68,5.90,7.80,253803,6.64,-4.51,777.03,5.33,9.01,-6.26,0.85,45.13,2.36,17.31
28,Suraksha Diagno.,349.10,323654,143643,4.18,7.83,7.15,122099,26.58,10.81,1813.00,38.40,7.57,7.66,108.60,40.62,23.32,17.29
29,Gaja Alternative Asset,162.71,19149848,4358093,14.18,6.63,,7060165,,,2292.77,35.66,33.15,-20.29,677.43,,11.09,17.02
30,Kross Ltd,256.93,5370564,2045399,7.42,7.47,24.22,1341153,35.00,18.29,1657.72,24.39,13.22,-18.23,-40.71,51.33,17.09,16.44
31,Arisinfra Solu.,142.09,4063662,2740924,6.57,13.26,-0.92,2613416,20.48,-10.93,1163.35,306.31,1505.59,-15.30,-7.44,37.02,45.21,15.57
32,Akums Drugs,821.45,867816,405239,4.82,5.81,9.53,389616,32.67,72.39,12925.01,57.55,-7.42,0.76,24.15,66.40,9.18,14.94
33,Suraj Estate,216.41,2777876,773438,12.57,23.95,10.72,331484,10.52,-27.55,1030.38,7.28,0.49,46.50,112.36,10.36,3.69,14.54
34,AVT Natural Prod,90.04,615472,242154,5.06,-0.10,2.87,353896,29.59,20.33,1366.68,156.60,54.04,6.50,41.24,54.81,40.77,14.22
35,Ashiana Housing,405.55,1086225,250758,14.32,16.96,12.09,85222,7.74,30.70,4064.76,3.07,195.43,-66.72,-37.51,35.45,37.13,14.03
36,KPI Green Energy,321.40,19093374,4395177,12.99,14.09,2.82,1743149,-20.10,-33.22,6354.29,-17.64,27.27,-12.81,-39.14,-16.29,40.01,13.85
37,Mankind Pharma,2437.80,1435221,728236,5.96,6.92,2.26,423601,-3.59,-8.37,99940.63,29.60,12.65,17.07,2.62,20.44,14.16,13.53
38,Aegis Logistics,1486.00,1973320,1345912,4.99,9.78,4.80,975440,40.76,87.73,52090.52,268.90,88.67,-9.16,19.85,142.91,30.35,13.33
39,SMS Pharma.,466.50,2313823,2061576,5.32,0.66,30.82,1450403,22.67,59.68,4368.87,2.05,39.99,-13.02,-36.07,15.31,10.25,13.30
40,Harsha Engg Intl,467.90,814311,257052,6.23,5.15,6.92,196856,9.08,10.38,4260.92,-1.45,41.50,-3.48,-20.86,39.61,20.22,13.00
41,TGV Sraac,107.00,434095,208095,4.30,1.03,1.05,254239,4.29,-17.18,1145.19,17.20,18.18,6.26,62.27,21.83,7.60,12.96
42,Protean eGov,588.35,8561175,1868063,20.00,19.50,6.77,667360,-1.14,-35.05,2400.46,-75.43,-9.67,-18.40,-80.71,18.45,21.39,12.69
43,Ratnaveer Precis,334.55,21533486,14519259,11.80,16.04,25.78,7577914,84.92,130.96,2803.08,22.01,37.24,26.38,7.11,138.83,17.48,12.29
44,Patanjali Foods,396.20,24575583,12619727,7.96,16.19,13.85,4624937,-4.44,-34.93,43573.91,86.19,77.99,1.63,-35.91,-18.33,20.24,12.07
45,ISGEC Heavy,852.85,610205,154946,8.47,7.15,12.95,82881,-9.55,-13.43,6282.15,29.15,13.15,-3.33,-79.40,-5.95,19.52,11.22
46,Unimech Aero.,1698.40,639450,381503,6.73,5.49,13.88,291055,49.23,54.01,8645.19,45.71,-12.11,31.56,6.74,115.75,15.57,11.15
47,Bhageria Indust.,361.40,751031,240944,7.96,13.99,69.91,228374,57.76,98.28,1550.67,199.75,54.14,6.47,154.89,152.87,55.21,11.01
48,Carborundum Uni.,1178.90,3974691,1015753,4.85,9.64,0.78,389702,-2.76,22.97,22433.73,23.44,-13.89,2.02,300.80,49.61,10.14,10.52
49,Shadowfax Technologies,272.75,14189998,4581352,8.43,7.64,6.80,4267284,23.04,,15997.82,624.29,1754.75,9.79,19.78,133.14,65.38,10.30
50,ACME Solar Hold.,458.10,7274998,5590144,5.25,13.87,14.07,2885730,30.40,55.29,32445.28,64.83,45.44,56.52,70.15,80.27,47.52,8.91
51,Jaykay Enter.,187.56,4691932,1373981,12.19,13.45,31.01,883684,12.47,4.72,2824.95,-78.19,85.18,21.93,-97.49,59.71,117.55,8.18
52,Tega Inds.,2129.00,4754727,2084788,9.57,23.13,22.13,782332,22.72,5.65,15977.83,-406.31,-100.47,227.17,-353.69,27.78,84.88,8.14
53,JP Power Ven.,16.48,605613203,153611194,7.22,2.87,-3.63,67042952,-8.55,-11.78,11309.22,138.18,12.35,28.08,3606.66,7.92,8.80,6.97
54,Spice LoungeFood,42.01,1870797,1421934,5.00,27.53,48.60,995245,70.01,5.00,2928.61,507.63,250.78,-14.63,-3.02,59.86,20.89,6.42
55,Shivalik Rasayan,398.95,234074,173040,7.22,10.19,47.49,129950,79.63,-16.13,642.98,112.50,-8.86,-6.30,-37.33,62.94,14.88,4.76
56,Tarsons Products,341.30,6098560,1301790,11.50,9.67,-1.06,427832,29.74,10.40,1813.26,-180.90,-56.99,-8.84,-134.45,84.90,10.63,4.59
57,Capillary Tech.,510.15,957544,645216,5.39,10.43,1.55,299530,3.22,,4059.80,2949.33,321.76,34.12,-122.02,8.31,22.79,3.42
58,Orchid Pharma,1081.80,596507,200978,9.31,7.85,7.96,106029,9.31,37.21,6482.31,156.59,-72.05,-17.42,-87.54,103.48,14.09,1.86
59,Ideaforge Tech,766.05,475070,262551,5.00,4.37,-5.72,292390,-10.97,43.09,3811.05,89.01,104.52,-51.37,-104.32,89.36,221.12,-2.81
60,Onida Electronics,34.31,1218132,1172841,4.32,6.62,-3.79,614480,-16.46,20.47,1262.48,-13.53,-259.16,26.84,70.06,40.27,6.34,-17.01
